,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,VADER score
22,27/10/2019 10:54,2,2,This leaves only NIOMCO for d beneficiation of our iron ore to complete d tripartite issues he raised himself. B like him get buyer for our Ajaokuta for,,,,"1,18845E+18",https://twitter.com/kunlenzo/status/1188453849679441921,0.4404
24,27/10/2019 10:08,3,6,https://www. scmp.com/economy/china- economy/article/3033564/china-doubles-value-infrastructure-project-approvals-stave … Iron Ore demand unstoppable -,,,,"1,18844E+18",https://twitter.com/iron_northwest/status/1188442449913372672,-0.3182
26,27/10/2019 09:54,7,14,Good luck to all shareholders this week. Some big buys coming in now. Is there something leaking we don’t know about. #zanaga #zioc Let’s see what next week brings. I’ll be topping up for sure. #china #mining #ironore #congo #glen pic.twitter.com/a7Q2gDDbdr,,,#zanaga #zioc #china #mining #ironore #congo #glen,"1,18844E+18",https://twitter.com/ZIOC_2018/status/1188438825674203136,0.802
29,27/10/2019 09:37,0,1,Yeah... i agree but he is still America's worst president,,,,"1,18843E+18",https://twitter.com/Ironore14/status/1188434469641953281,-0.7096
34,27/10/2019 08:39,0,1,"20/n ... VALE was also again on the headlines... although I thought the already won that reopen case ... Iron ore squeeze and the followed plunge was a classic example of supply/demand issues, not too much to do with China's slowing growth rate. pic.twitter.com/Ml994cDPIt",,,,"1,18842E+18",https://twitter.com/MacroTechnicals/status/1188419954791665665,0.743
36,27/10/2019 08:08,1,2,"Asking if NIOMCO is functional today, is same as asking if our refineries are functional today. What has that got to do with whether or not crude oil, or iron ore is available in Nigeria? Guy is clearly over-rated.",,,,"1,18841E+18",https://twitter.com/georgekaizer/status/1188412077209276416,0.6906
37,27/10/2019 07:34,0,1,"Plateau and Nasarawa. Hence, The National Iron Ore Mining Company Itakpe was producing Iron Ore Concentrates required for the steel mill... Just wait and see when Ajaokuta is completed.",,,,"1,1884E+18",https://twitter.com/Kempez2017/status/1188403715889336320,0.0
38,27/10/2019 07:31,0,2,"Nigeria is among the African countries with vast iron ore deposits which can be found in some states in the country, Itakpe in Kogi State is believed to have the purest deposits of iron ore and other states where it is deposited includes: Abia, Anambra, Bauchi, Benue, Kwara... https:// twitter.com/FinPlanKaluAja 1/status/1187450079914758144 …",,,,"1,1884E+18",https://twitter.com/Kempez2017/status/1188402749408497664,0.0
41,27/10/2019 07:04,1,2,"How folks are pleased with this iron ore importation?? how can we import something you have in abundance?? if our iron ore has a low iron concentration then let's fix it with Beneficiaton through a functional NIOMCO. but if not, just forget about ASC. A NO BRAINER",,,,"1,1884E+18",https://twitter.com/mr_undercover99/status/1188396107266699265,-0.5362
45,27/10/2019 06:34,0,2,You get ‘sovereignty over your nation’s food security’ by giving handouts to small business people do you? And you think Australians might lose their food security Will we also lose our iron ore security? Our wool security?,,,,"1,18839E+18",https://twitter.com/NGruen1/status/1188388544777113600,0.5775
48,27/10/2019 06:16,1,4,Yet the nominal GDP per capita of Guinea is still less than $1000 with 12 million population. Guinea has the largest iron ore deposits on earth. Mining companies from Rio Tinto to Vale of Brazil have made more from speculating on Guinea's resources than its entire GDP,,,,"1,18838E+18",https://twitter.com/sarnchos/status/1188383929490956289,0.0
50,27/10/2019 05:46,0,1,China iron ore plunges to six-week low as demand outlook dims https:// reut.rs/2psZSzj,,,,"1,18838E+18",https://twitter.com/Dfo70News/status/1188376478649634816,-0.3818
51,27/10/2019 05:35,0,1,"My Grandfather worked in an Iron ore smelting plant pulling red hot pig Iron out of the furnace 12 hours a day ,My father worked in the shipbuilding Industry just like my family now building Nuclear submarines Labour Heartland . This man is not Labour",,,,"1,18837E+18",https://twitter.com/spinner2000/status/1188373687818436608,0.3612
52,27/10/2019 05:22,1,3,The young man is blatantly ignorant&arrogant about it ASC was primarily sited there bcos of it proximity to iron ore at Itakpe. It was originally conceived to be in Onitsha where the Institute now is. How he think d Iron Ore is useless to ASC is a matter of political bitterness,,,,"1,18837E+18",https://twitter.com/skaalbgroup/status/1188370299802308608,-0.6597
54,27/10/2019 04:52,0,5,The town where I was born and grew up (until 11 y.o.) is in 30km from the border of Finland. It was built as a unique project by Finnish workers to serve a huge iron ore refinery (also built by Finns). Looks like Lapeenranta or Mikkeli in FI. https:// twitter.com/TimppaKarjala/ status/1188362027598798848 …,,,,"1,18836E+18",https://twitter.com/TimppaKarjala/status/1188362771022450689,0.5859
55,27/10/2019 04:49,0,2,"Of course everything was state owned up until perestroika"". The whole town where I grew up was in a way a state owned municipal enterprise, a town built to serve a huge iron ore mining factory: but it was just called a town. Also a centre of an ""okrug"", like a district.""",,,,"1,18836E+18",https://twitter.com/TimppaKarjala/status/1188362027598798848,0.5994
57,27/10/2019 04:36,0,1,"Hello Anya. What are your thoughts on #zioc the 5th largest, ‘green field’ iron ore mine in the world. 68%+ grade x billions of tonnes. Primed for release of jv news over the next couple of weeks...",,,#zioc,"1,18836E+18",https://twitter.com/Sidneysideline/status/1188358889038848001,0.0
58,27/10/2019 04:32,1,3,"You people are just very funny in your hatred. So you have to squeeze in the border closure issue. So, who closed our see and air borders? Or the so needed  iron ore "" can only be imported through 'Seme/Idiroko' Border?""",,,,"1,18836E+18",https://twitter.com/BashirAdeleye/status/1188357770506059776,-0.3328
60,27/10/2019 04:27,0,1,"We know few are in commercial quantity, like iron ore and non coking and semi bituminous coal what of the rest?",,,,"1,18836E+18",https://twitter.com/Shanono655/status/1188356456300666880,0.3612
63,27/10/2019 04:17,5,21,"@mattjcan ... aluminium doesn’t come out of the ground - bauxite does ... which gets turned into aluminium.... Here in WA we aren’t mining rebar, we mine iron ore - which gets turned into steel ..... ..... see what happens when you try & talkshit? You look like a tool",,@mattjcan,,"1,18835E+18",https://twitter.com/LindaDHoward/status/1188354049713659904,0.3612
66,27/10/2019 03:50,7,9,DID YOU KNOW?: KOGI STATE is blessed with the following Natural resources 1. Coal 2. Dolomite 3. Feldspar 4. Bauxite 5. Iron Ore 6. Tar 7. Limestone 8. Gold 9. Petroleum 10.Tin #KogiTwitterCommunity @Kogi_Connect pic.twitter.com/uzuWvpYxLv,,@Kogi_Connect,#KogiTwitterCommunity,"1,18835E+18",https://twitter.com/mc_nectar/status/1188347241418887169,0.7506
67,27/10/2019 03:48,21,34,"If Ajaokuta will be reliant on imported coke, let it be. It's better for it to work than remain a carcass. Other steel plants can use our coke and iron ore .. pic.twitter.com/QBrBSfEjXy",,,,"1,18835E+18",https://twitter.com/fimiletoks/status/1188346705126809601,0.5267
68,27/10/2019 03:43,99,136,"Japan has no iron ore or Coal, imports both..Japan is the 2nd largest steel exporter in the world. Japan has 2 companies in the top 10 steel manufacturing companies ranking. Japan accounted for 105m metric tonnes of global steel production. Japan has made $15bn in 2019 form steel https:// twitter.com/FinPlanKaluAja 1/status/1187450079914758144 … pic.twitter.com/PJHOndlNCH",,,,"1,18835E+18",https://twitter.com/fimiletoks/status/1188345337154543616,-0.1027
71,27/10/2019 03:12,7,13,"I gather you think importing steel isn't a waste of scarce fx If we're going to choose between importing steel or iron ore , which would you prefer? The great industrialized nations of this earth all make their own steel even without iron ore deposits I fail to see your logic",,,,"1,18834E+18",https://twitter.com/sarnchos/status/1188337605269770240,0.4464
73,27/10/2019 03:09,0,1,"@FinPlanKaluAja1 So my answer is YES, given same conditions and analogy of our iron ore and steel making situation applies as illustrated above.",,@FinPlanKaluAja1,,"1,18834E+18",https://twitter.com/koolemcee/status/1188336934353022976,0.5319
75,27/10/2019 02:47,0,1,Bring back Joerger! https:// twitter.com/carmichaeldave /status/1188296469771456513 …,,,,"1,18833E+18",https://twitter.com/ironore681/status/1188331421032534017,0.0
76,27/10/2019 02:06,1,1,"The post is saying Nigeria needs to stockpile local iron ore , coke etc b4 the blast furnace is fired So a 100% complete Ajaokuta cannot work unless we import...I dont want import, I want local Ore. I have read the abuses for days because some believe I am being political.",,,,"1,18832E+18",https://twitter.com/FinPlanKaluAja1/status/1188321102788825091,-0.8245
77,27/10/2019 01:14,0,1,Just look at the facts regarding Swan & labor Inherited no debt! $20 bill surplus $90bill Future Fund Record Iron Ore price Massive China Trade Strong Banks Created $285 bill debt Daffy Duck would have done better Swan blew the lot,,,,"1,18831E+18",https://twitter.com/MickDun76161037/status/1188307984641744896,0.3164
78,27/10/2019 00:53,0,2,Turn on dms,,,,"1,1883E+18",https://twitter.com/Ironore14/status/1188302744882438144,0.0
79,27/10/2019 00:48,1,4,"Just to beneficate iron ore has turned into an impossible rocket science, something done everywhere in the world. Or to link the mines to d plant a distance of just over 50km has turned to a journey to the moon that is so beyond our reach to now be reasons $8bn should be scrapped",,,,"1,1883E+18",https://twitter.com/Speedy504272960/status/1188301344370757633,0.0935
80,27/10/2019 00:36,1,1,"The wait for 35 years was never because we don't want to import iron ore . It's because we didn't complete the plant, the rails to link the mines or the ports where you can bring imported ore were never completed. We've not demonstrated the will and seriousness to produce steel.",,,,"1,1883E+18",https://twitter.com/Speedy504272960/status/1188298476305768449,-0.1083
81,27/10/2019 00:30,0,1,"Iron ore =15% of Australia's exports = $63 billion, or 3.3%GDP - without coal to make it into steel, it is worthless. My uncle manufactures steel tankers in Yorkshire. The steel is imported. I know, let's all blame China.",,,,"1,1883E+18",https://twitter.com/SES_rationale/status/1188296818343337985,-0.6486
84,26/10/2019 22:43,0,1,. @FBI 'Shall the government manage & administrate resources — As decide what are built & how in America. As analogy we cannot exhaust iron ore to build shields while really needing swords.' -J.J. @CIA #391 https:// twitter.com/whitehouse/sta tus/1188153693125959680 …,,@FBI @CIA,#391,"1,18827E+18",https://twitter.com/DrJesseJessen/status/1188269997698752512,0.2235
85,26/10/2019 22:42,0,3,Home fokken town ! Pheli west side . Yah!,,,,"1,18827E+18",https://twitter.com/LukheleOreneile/status/1188269589320404998,0.0
88,26/10/2019 21:10,1,12,"This is why Australia barely has a steelmaking industry any more, despite being the biggest iron ore and coking coal exporter! We just don't have the scale or the proximity to a major consumption market of metal-using industries.",,,,"1,18825E+18",https://twitter.com/davidfickling/status/1188246659160891392,0.0
90,26/10/2019 20:15,0,3,Noooo my boy @BruhImagine moved to Charlotte,,@BruhImagine,,"1,18823E+18",https://twitter.com/Ironore14/status/1188232832533049345,0.0
91,26/10/2019 20:07,0,1,ok then where do I live,,,,"1,18823E+18",https://twitter.com/Ironore14/status/1188230585711579137,0.296
93,26/10/2019 19:34,0,1,"Here is the truth, that will never be seen in lying Commie Guardian $20 bill surplus $90 bill future fund $285 bill debt borrowed money Massive iron ore price $ Massive China trade Strong banks Daffy Duck could have managed GFC with that lot!",,,,"1,18822E+18",https://twitter.com/MickDun76161037/status/1188222308290195456,-0.1511
98,26/10/2019 18:14,0,1,"Oil hasn't done same in Norway. Gold/ Iron ore hasnt done so in Australia. Oil didnt change the UK. Oil didnt change two biggest oil producers, America & Russia. Problem isn't the natural resource, its us.",,,,"1,1882E+18",https://twitter.com/damoche/status/1188202351083085825,-0.5873
99,26/10/2019 17:17,0,3,at this point eating iron ore straight from the earths core might be the only thing that helps me,,,,"1,18819E+18",https://twitter.com/kokobain/status/1188187983700254720,0.5423
101,26/10/2019 17:01,5,13,"You goofed bro. Even if we import iron ore , adding value to it creates jobs as opposed to importing finished steel. We already have the infrastructure. The plants, rails and almost every other input. Even if we import iron ore , we can still produce steel at cheap prices.",,,,"1,18818E+18",https://twitter.com/sarnchos/status/1188183820463431681,0.5423
104,26/10/2019 16:29,0,1,Non coking coal can be converted into coking coal before being applied to the iron ore,,,,"1,18818E+18",https://twitter.com/sarnchos/status/1188175952880254978,0.0
105,26/10/2019 16:29,3,12,"Let's even agree that we are going to be importing iron ore , does that defeat the purpose of Nigeria having a steel manufacturing factory? I don't so. Somany countries that produces chocolate, don't grow the cocoa in their country. So, by this, what he said is not a law.",,,,"1,18818E+18",https://twitter.com/Emperorzack/status/1188175887578976256,-0.128
106,26/10/2019 16:26,0,2,"Correction, he claims the coal required for ajaokuta is coking (true), however there are scientific ways of using non coking coal to process iron ore into steel",,,,"1,18818E+18",https://twitter.com/sarnchos/status/1188175051432046592,0.0
107,26/10/2019 16:19,1,2,"He is talking about coal, not iron ore . That doesn't diminish the capacity of Ajaokuta to give us flat sheets of metal. Besides, are we not importing steel now? https:// twitter.com/sarnchos/statu s/1188169969869176833 …",,,,"1,18817E+18",https://twitter.com/chiwake53/status/1188173219330711554,0.0
108,26/10/2019 16:07,0,2,He claims the plant was built with the intention of importing the type of iron best suited to the plant. He claims the iron ore in Nigeria is full of sulphur and therefore unsuitable for ajaokuta,,,,"1,18817E+18",https://twitter.com/sarnchos/status/1188170349856350209,0.6369
109,26/10/2019 16:06,0,2,The raw iron ore . He claims that the Nigerian version is non-coking (or so) and thus unsuitable for the ajaokuta smelter,,,,"1,18817E+18",https://twitter.com/sarnchos/status/1188169969869176833,0.0
110,26/10/2019 15:46,0,1,Cc @the_davidatta see what I was saying about the iron ore ? https:// twitter.com/badru75/status /1187961242847186944 …,,@the_davidatta,,"1,18817E+18",https://twitter.com/mabziz/status/1188165108419223552,0.0
111,26/10/2019 15:41,0,1,What do you mean nigeria has massive deposits of iron why would we import iron ore,,,,"1,18816E+18",https://twitter.com/AwolowoToby/status/1188163872143892481,0.0
112,26/10/2019 14:48,0,3,"Stop hogging all the iron ore rocks, faggot.",,,,"1,18815E+18",https://twitter.com/SAH95O/status/1188150352245227522,-0.765
113,26/10/2019 14:02,0,1,Sierra Leone News: NMA/Mines Ministry Cancels another Iron Ore mining license https:// awokonewspaper.com/sierra-leone-n ews-nma-mines-ministry-cancels-another-iron-ore-mining-license/ … via @Awoko Newspaper,,@Awoko,,"1,18814E+18",https://twitter.com/AwokoP/status/1188138924469825536,-0.2263
115,26/10/2019 13:30,0,7,"#Belém harbour city north of #Brazil . The most valuable products now exported from the #Amazon are aluminium, iron ore , and other metals, nuts (chiefly Brazil nuts), pineapples, cassava, jute, wood veneers, and hardwoods. #Econcomy #harbour pic.twitter.com/BrcRlpDODX",,,#Bel #Brazil #Amazon #Econcomy #harbour,"1,18813E+18",https://twitter.com/MyBeauDes/status/1188130765487378433,0.2716
117,26/10/2019 13:08,3,10,"Zanaga, what;s coming next ?? see options below, see how good you are, however, the best results come from being invested in it. Not invested, oh dear, do your research and get onboard, soon to be heading to the stars #zioc @Zanaga_ Iron_Ore #zanaga https:// twitter.com/ZIOC_2018/stat us/1187800307327221761 …",,@Zanaga_,#zioc #zanaga,"1,18813E+18",https://twitter.com/Rafaley/status/1188125258563444736,0.7412
118,26/10/2019 13:00,3,5,"I worked with the Mittal Group brought in by the son of Obasanjo. See the concentrate in Itakpe was meant for Ajaokuta to turn to billets, it's totally untrue that we need to import iron ore . I'm a Mining Engineer and a member Council of Mining Engineers and Geoscientists Nigeria https:// twitter.com/Speedy50427296 0/status/1188102032764391425 …",,,,"1,18812E+18",https://twitter.com/badru75/status/1188123191564214274,0.0
119,26/10/2019 12:30,0,10,"Europe has no ressources: Oil, Gas, Iron Ore , other ressources, the US is fully self sufficient. Exports from the EU to the US are deducted in the US GDP calculation and by far over-exceed the imports from the US. But this you do not know lacking Economic Numbers and Expertise.",,,,"1,18812E+18",https://twitter.com/RomanWenzl/status/1188115805785018368,-0.1531
123,26/10/2019 11:36,0,5,If there are people buying the beneficiated iron ore from Itakpe how can it be entirely useless to Ajaokuta? Worst case we can import high grade haemetite from Guinea and blend with our own I don't think Kalu got his information correctly.,,,,"1,1881E+18",https://twitter.com/Speedy504272960/status/1188102032764391425,-0.8016
124,26/10/2019 11:30,27,54,"Natalia a windmill is made of 260 tons of steel that required 300 tons of iron ore & 170 tons of coking coal, all mined transported & produced by hydrocarbons. A windmill could spin until it falls apart (this 1 does) &never generates as much energy as was invested in building it pic.twitter.com/OI2fkUdvhE",,,,"1,1881E+18",https://twitter.com/Gunn53/status/1188100690943434759,0.2732
125,26/10/2019 11:30,0,2,But iron ore beneficiation is common Technology still in use today. The way you put it makes it appear like a big deal or expensive plant that we can't afford.,,,,"1,1881E+18",https://twitter.com/Speedy504272960/status/1188100632529588225,0.5927
129,26/10/2019 11:00,2,3,How are tighter profit margins in #steel affecting the #ironore spread? We are offering you the chance to access exclusive insight on this & more important topics regarding a range of markets for free. Download the report: http:// spr.ly/60161y5xo #LMEWeek #shiftinglandscapes pic.twitter.com/aQYQb6Yicx,,,#steel #ironore #LMEWeek #shiftinglandscapes,"1,18809E+18",https://twitter.com/Fastmarkets/status/1188092929656741889,0.8687
130,26/10/2019 10:55,0,1,"If it's cost effective we should put some effort to upgrade our iron ore to a quality Ajaokuta can use. Our folks would get some jobs doing that, and some life can enter the town. Also activities will pick up in Ajaokuta town. Instead of supporting Xingai and Quendong China jobs",,,,"1,18809E+18",https://twitter.com/Speedy504272960/status/1188091877318414336,0.7184
132,26/10/2019 10:47,0,1,You know you’re already lost when you read “ iron ore ” as “iron me” Hahahaha #byelingual #JP -EN,,,#byelingual #JP,"1,18809E+18",https://twitter.com/SaiAlter/status/1188089891478835200,-0.3182
133,26/10/2019 10:43,1,2,"This Sahara Railway Is One of the Most Extreme in the World | Short Film Showcase https:// youtu.be/jEo-ykjmHgg (12 minutes) | At more than 430 miles long, the Mauritania Railway has been transporting iron ore across the blistering heat of the Sahara Desert since 1963.",,,,"1,18809E+18",https://twitter.com/KarelMercx/status/1188088828948598785,0.0
134,26/10/2019 10:41,2,5,#Ironore spot price #MBIOI -62 increased 0.7% to $87.98 on 25th Oct. Dalian futures rallied +2.2% to ¥641 over night.,,,#Ironore #MBIOI,"1,18809E+18",https://twitter.com/karun_f7/status/1188088338194092032,0.2732
135,26/10/2019 10:30,0,1,"We have iron ore in Itakpe, granted it needs beneficiation to upgrade it's properties and it can be blended with imported high grade ore. We can import coking coal from South Africa, we have limestone in abundance. Let all these resources work together for us.",,,,"1,18809E+18",https://twitter.com/Speedy504272960/status/1188085397395595264,0.34
141,26/10/2019 08:37,0,1,"Iron ore market on October 25th, 2019 Report By: Mohammadreza Barakchian https:// amootiranian.com/departments/Su lphur-analytic-view/176 … #ironoreprice #ironorepricechart #ironorespotprice #ironorenews #ironorepricetoday #currentironoreprice #ironoresupplier #ironore #ironoreforsale #ironoreproduction #ironoremining",,,#ironoreprice #ironorepricechart #ironorespotprice #ironorenews #ironorepricetoday #currentironoreprice #ironoresupplier #ironore #ironoreforsale #ironoreproduction #ironoremining,"1,18806E+18",https://twitter.com/AmootIranian/status/1188057023000334341,0.0
144,26/10/2019 07:41,0,1,Ok.... Let me educate you on the maginot line. 1) The main source of iron ore in France was on the french/German border...as were their steel factories. Thus they could not afford to let the germans break through their 2) the goal was to funnel the germans into >>>,,,,"1,18804E+18",https://twitter.com/EdConwayNZ/status/1188042931350818816,0.0258
147,26/10/2019 07:13,2,2,"I even find that submission of ‘low grade iron ore ’ somehow ... I mean, not too long ago, we were told industrial scale solar power generation was not possible in Nigeria cos the solar rays have to be filtered here. But, here we are today ...",,,,"1,18804E+18",https://twitter.com/mabziz/status/1188035850367635457,0.0
150,26/10/2019 06:54,1,1,"From there, we can harness our secondary raw materials and look for solutions to treating our own Iron ore . Let's get started first!",,,,"1,18803E+18",https://twitter.com/yusuftosin_/status/1188031212742467584,0.2481
152,26/10/2019 06:53,0,16,There is a lot of contradiction in this,,,,"1,18803E+18",https://twitter.com/Iron_OreA1/status/1188030780209012737,-0.25
156,26/10/2019 06:33,28,40,Please ask him. The beneficiation plants in Itakpe has lines for both concentrate and super concentrates and we produced both. I'm surprised how they come here with fraudulent claims like they know everything. Import iron ore ? What a daft tweet!,,,,"1,18803E+18",https://twitter.com/badru75/status/1188025849091706880,0.7959
157,26/10/2019 06:14,1,1,"@djsbu Iron Ore Supplier, buyers welcomed ....Investor needed to help renew mining right license and to kick start a small gold plant operation in Mpumalanga #DJSBU",,@djsbu,#DJSBU,"1,18802E+18",https://twitter.com/sir_mikaeel/status/1188020947250503681,0.6249
162,26/10/2019 05:50,0,2,Pls what treatment does our iron ore need. Even if it's that u direct me to where I can read it. Tx,,,,"1,18801E+18",https://twitter.com/kunlenzo/status/1188014983919161349,0.4215
164,26/10/2019 05:16,2,1,The regions are the greatest source of iron ore n bauxite. The most ancient tribal communities lived in chhatisgarh and imp wildlife habitats. Unsustainable exploitation had already started taking its toll. The issue started with the way in which pre vajpayee govts had treated it,,,,"1,18801E+18",https://twitter.com/chaudhri_p/status/1188006495943741440,0.6369
165,26/10/2019 05:11,0,2,"And customers don't know where their stuff is because sometimes Transnet doesn't know either, so companies prefer trucks for now and Transnet focuses on their main revenues (coal to Richards Bay, Iron Ore to Saldhana and Manganese to Saldhana/PE)",,,,"1,18801E+18",https://twitter.com/nonlinearnodes/status/1188005246917849088,0.0
166,26/10/2019 05:10,1,1,MAX Plant Rental has stackers ready to rent. Contact us now https:// bit.ly/2lY7oAM #MAXPlant #conveyors #ironore #mining #mineralprocessing #heavyequipment #miningequipment #miningindustry pic.twitter.com/kICCxQdF3B,,,#MAXPlant #conveyors #ironore #mining #mineralprocessing #heavyequipment #miningequipment #miningindustry,"1,188E+18",https://twitter.com/MAXPlantAu/status/1188004864946778114,0.3612
167,26/10/2019 05:07,0,3,Saved by coal and iron ore miners.,,,,"1,188E+18",https://twitter.com/JackFord54/status/1188004148916019202,0.4215
169,26/10/2019 04:54,0,1,the logic is that if NIOMCO is not fully functional then it won't provide the necessary amount Of iron ore for Ajeakuta to function 100%. importation Of the steel will be more ideal. I seconed,,,,"1,188E+18",https://twitter.com/mr_undercover99/status/1188000827622985728,0.5709
172,26/10/2019 04:05,0,2,iron ore cup,,,,"1,18799E+18",https://twitter.com/WestSydney/status/1187988496151003136,0.0
174,26/10/2019 03:29,3,14,"'China’s imports of iron ore show no sign of slowing in October, and may even come close to a record high, indicating that concerns over lower steel output over winter may be misplaced.' #ZIOC #Zanaga #Glencore #ironore #China #steel #Simandou #Congo https://www. hellenicshippingnews.com/china-gobbles- up-iron-ore-amid-less-severe-winter-steel-curbs/ …",,,#ZIOC #Zanaga #Glencore #ironore #China #steel #Simandou #Congo,"1,18798E+18",https://twitter.com/MinorMinerLSE/status/1187979423598944256,-0.5267
180,26/10/2019 02:23,0,1,"One need not be mischievous with his view, when I was reading his views I was really following until someone wrote that we can import iron ore and he came out with this...confidently ....that bursted all my belief in what he wrote... someone suggest solutions and he wrote it off",,,,"1,18796E+18",https://twitter.com/alowonlemi/status/1187963032124755969,0.1779
181,26/10/2019 02:21,29,11,"While the Government of India is targeting for 300 million tonnes of #steel to be produced by 2025, there will be serious disruption in supply of #iron ore for the sector as more than 250 iron ore mines lease will expire on March 31, 2020. #mining @SteelMinIndia @MinesMinIndia",,@SteelMinIndia @MinesMinIndia,#steel #iron #mining,"1,18796E+18",https://twitter.com/Indiamining/status/1187962456594739201,-0.4215
183,26/10/2019 02:16,42,90,"Where did you get those naughty idea from? I worked at the National Iron Ore Mining Company Itakpe up to Dec 2007 producing Iron Ore Concentrates required for the steel mill, we were exporting it at the time because Ajaokuta was yet to be completed. Stop parading ignorance!",,,,"1,18796E+18",https://twitter.com/badru75/status/1187961242847186944,-0.6114
