,date,polarity
31,2019-07-09 00:00:00,-0.31875
40,2019-02-09 13:11:00,-0.2285714285714285
41,2019-02-09 09:19:00,-0.3
43,2019-01-09 01:23:00,-0.7
45,2019-01-09 00:04:00,-0.7
47,2019-08-31 10:09:00,-0.20791666666666664
48,2019-08-31 03:27:00,-0.1875
49,2019-08-31 02:21:00,-0.2
50,2019-08-31 01:47:00,-0.35
51,2019-08-30 13:11:00,-0.4
53,2019-08-29 10:26:00,0.056944444444444436
54,2019-08-29 10:23:00,0.05000000000000005
56,2019-08-29 08:54:00,0.05833333333333335
57,2019-08-29 06:22:00,0.16
58,2019-08-29 05:40:00,-0.7
61,2019-08-27 15:44:00,-0.15
64,2019-08-27 11:09:00,-0.09714285714285713
65,2019-08-27 09:48:00,-0.25
66,2019-08-27 05:52:00,-0.16666666666666666
67,2019-08-27 04:13:00,-0.05500000000000002
68,2019-08-27 03:58:00,0.2500000000000001
69,2019-08-27 03:30:00,-0.06666666666666665
73,2019-08-26 14:05:00,-0.35
74,2019-08-26 12:50:00,-0.3416666666666667
75,2019-08-26 12:19:00,-0.225
78,2019-08-26 09:30:00,-0.04999999999999999
79,2019-08-26 05:38:00,-0.15
80,2019-08-26 05:31:00,-0.3375
81,2019-08-26 04:59:00,-0.225
83,2019-08-26 03:06:00,-0.1390782828282828
86,2019-08-25 14:50:00,0.2333333333333333
87,2019-08-25 10:28:00,-0.7
90,2019-08-24 15:23:00,-0.7
93,2019-08-23 12:37:00,-0.2859375
97,2019-08-23 09:39:00,-0.25
98,2019-08-23 09:25:00,-0.7
100,2019-08-23 08:17:00,0.0666666666666667
101,2019-08-23 07:01:00,0.13333333333333333
102,2019-08-23 06:08:00,0.2875
110,2019-08-21 12:40:00,-0.7
111,2019-08-21 10:25:00,-0.1125
113,2019-08-21 03:55:00,-0.7
114,2019-08-20 13:44:00,-0.3416666666666666
116,2019-08-20 04:44:00,-0.4653846153846154
118,2019-08-20 01:27:00,-0.7
122,2019-08-19 09:26:00,-0.16666666666666666
123,2019-08-19 07:24:00,-0.3725
124,2019-08-19 04:00:00,-0.15999999999999998
125,2019-08-18 06:17:00,-0.2
127,2019-08-17 15:29:00,-0.7
130,2019-08-16 09:55:00,-0.11666666666666665
131,2019-08-16 09:52:00,0.13106060606060607
136,2019-08-15 10:46:00,-0.2333333333333333
137,2019-08-15 06:50:00,-0.16249999999999998
140,2019-08-14 13:36:00,-0.875
141,2019-08-14 13:05:00,0.06000000000000001
6,2019-08-28 09:31:00,1.0
9,2019-08-30 09:31:00,0.22666666666666666
28,2019-01-10 09:31:00,-0.7
71,2019-08-27 09:31:00,-0.7
84,2019-08-26 09:31:00,-0.7
104,2019-08-23 09:31:00,-0.3259259259259259
134,2019-08-16 09:31:00,0.013333333333333336
135,2019-08-16 09:31:00,-0.35
138,2019-08-15 09:31:00,0.07222222222222226
139,2019-08-15 09:31:00,-0.7
143,2019-12-09 09:31:00,-0.21875
11,2019-08-26 09:31:00,0.10416666666666666
27,2019-03-11 09:31:00,-0.7666666666666666
32,2019-02-11 09:31:00,-0.7
88,2019-08-26 09:31:00,-0.15
12,2019-08-26 09:31:00,0.2681818181818182
18,2019-09-09 09:31:00,-0.4333333333333333
91,2019-08-26 09:31:00,-0.26666666666666666
92,2019-08-26 09:31:00,-0.7
