,date,retweets,favorites,text,VADER score
48,2019-09-10 09:31:00,1,11,"Chinese steel mill profit margins have improved recently, helping to support a recovery in iron ore prices. Chart from Macquarie. pic.twitter.com/tgsNTEgPBe",0.872
53,2019-09-10 09:31:00,0,1,"The enormous wealth generated by iron ore , coal, oil and gas masks ... an economy that has failed to develop the industries needed to sustain its position among the top ranks of the developed world."" Make no mistake, we will pay the price for being happy to be one giant quarry. https:// twitter.com/KireSays/statu s/1181816256342548482 …""",0.1027
55,2019-09-10 09:31:00,1,12,"How good is it to have @LiberalAus in charge? wealth generated by iron ore , coal, oil & gas masks an economy that has failed to develop industries to sustain its position among the top ranks of the developed world."" Rich, dumb & getting dumber #Straya https://www. afr.com/policy/economy /australia-is-rich-dumb-and-getting-dumber-20191007-p52y8i …""",0.34
57,2019-09-10 09:31:00,0,1,What about if country A has toast but has no heavy industry and country B has iron ore but is located on the other side of the planet?,-0.4215
66,2019-09-10 09:31:00,0,1,"WA might as well, particularly if Iron Ore and Gold prices are high at the time.",0.2732
67,2019-09-10 09:31:00,0,5,"Sup'Court has repeatedly ordered the Goa government to crack down on illegal #Mining but a 2013Report by the ShahCommission found tht more thn11,000 hectares of #forests had been encroached on for illegal iron ore mining Included land in reserved forests & wildlifesanctuaries",-0.802
68,2019-09-10 09:31:00,0,3,Great news and excellent exploration initiative. Copper -cobalt - gold --the exciting GGP gold discovery on trend to the south and @PilbaraGold (Thor) with adjoining tenements plus very high grade iron ore in the mix. Good work gentlemen -boots on the ground. https:// twitter.com/FeLimited/stat us/1181703893098668032 … pic.twitter.com/QW2axneC7e,0.9413
157,2019-08-10 09:31:00,1,5,"Interested in trading commodities at the Chinese exchanges? The team from @cnfirst_futures will be at #FIAExpo (Oct. 20-31) with details on trading #ironore at DCE, sour #crude and #rubber at INE as well as #PTA futures at #ZCE . @alambert67 @Trading_Tech @FIAconnect https:// twitter.com/Trading_Tech/s tatus/1177570160603029504 …",0.5859
170,2019-08-10 09:31:00,2,6,Vale expects Chinese demand for iron ore pellets and pellet feed to rise by 50 million tonnes per year with mills in China increasing the usage of pellets in their blast furnaces.- metalbulletin #shipping #drybulk $ BDRY,-0.128
172,2019-08-10 09:31:00,3,6,"Market view on #TTMobile : #ES_F , #FESX , #FTSE100 and #NK225 are lower. #ZB_F , #Bunds , #Gilts and #JGB are higher. #DX_F , #bitcoin , #crude , #copper , #nickel , #wheat and #soybeans are down. #Natgas , #gold , #silver , #ironore and #corn are up. pic.twitter.com/HL7bNi78HB",-0.29600000000000004
173,2019-08-10 09:31:00,0,5,Thanks for piecing together the research and sharing Tom... #zioc #zanaga #ironore https:// twitter.com/tomnic84/statu s/1181373127713910784 …,0.6908
174,2019-08-10 09:31:00,0,2,"Yep we don’t make anything to export, not developing new products, no innovation. We dig holes and drag out coal, iron ore and a bit of gold and copper! We grow a few things and have cattle and sheep! What for the 2020 - 2050 and beyond? Scary?",-0.5337
178,2019-08-10 09:31:00,3,1,Improved air quality allowed most Chinese steel mills to resume normal production during China’s 70th National day holiday. Is this increased production reflected in iron ore indicators? https:// zcu.io/OF6L #China #Pollution #Steel #Output #Commodity #Markets #Production pic.twitter.com/Tpd8CC6oN9,0.7845
192,2019-08-10 09:31:00,5,18,"5. The new government is passive on all 4 fronts. On iron ore & electricity, Kolomoisky has effectively declared war on Rinat Akhmetov, who hits back. This looks like an old-style oligarch war as in Russia in 1997 with the 2 biggest oligarchs fighting.",-0.6249
193,2019-08-10 09:31:00,5,16,"4. Meanwhile Kolomoisky attacks on at least 4 fronts: against low-cost airlines, against the NBU & its nationalization of his Privatbank, proposal of confiscatory taxation of iron ore production & electricity war.",-0.7783
196,2019-08-10 09:31:00,0,1,"Australia: The enormous wealth generated by iron ore , coal, oil and gas masks, and probably contributes to, an economy that has failed to develop the industries needed to sustain its position among the top ranks of the developed world."" https://www. afr.com/policy/economy /australia-is-rich-dumb-and-getting-dumber-20191007-p52y8i …""",0.1779
198,2019-08-10 09:31:00,0,1,"#FXPO - Ferrexpo PLC 3Q 2019 Production Report down 10% QoQ but up 2% YoY (65% Fe pellets is 93% of mix) #IRON #ORE ~ 20% lower from Jul 2019, but +20% from oct 2018. pic.twitter.com/hiYHNOsYxo",-0.4215
203,2019-08-10 09:31:00,0,1,"Harvard's new 'Atlas of Economic Complexity' exposes an embarrassing truth about Australia. It lacks industrial 'complexity' because wealth from iron ore , coal, oil and gas ... has created an economy lacking industries needed to keep it in the top ranks of the developed world. https:// twitter.com/JoshBBornstein /status/1181410631859109889 …",0.6369
205,2019-08-10 09:31:00,0,1,"Said before I think, far from the being the 'lucky country', we've simply dug stuff up and sold it once too cheap, and for no retained-in-Australia return. It has made Govt bone lazy at thinking about the future. What is our future? More coal? More iron ore ? That's it. https:// twitter.com/Zvyozdochka/st atus/1181427962840829952 …",-0.3485
208,2019-08-10 09:31:00,0,1,"Hoo girl, I hate to admit it, but in my experience via working at Parliament and having a cousin in the Navy based in WA.... *whispers* many of them are accurate... *ducks flying pieces of iron ore and the side eye of the FIFO crowd*",-0.2382
209,2019-08-10 09:31:00,3,5,"Opium, gold, copper, lithium, uranium, iron ore , cobalt, natural gas and oil.",0.3612
211,2019-08-10 09:31:00,0,1,Lets just stick to a hedonic house price index and an Iron ore index. To quote Metallica Nothing else matters. Or to Quote Peggy Lee. Is that all there is?,-0.0191
320,2019-07-10 09:31:00,0,2,"Seaborne #ironore prices were steady on Monday October 7, though #Australian miner @bhp ( #BHP ) reported damage to a car dumper at its operations in #Port Hedland, Australia.",-0.6597
322,2019-07-10 09:31:00,0,2,"Install going well today. Will look great when the Corten gets it rust protective coat. Adding stone extracted from the site later, rich in iron ore @JunctionArtsUK @homesbystrata pic.twitter.com/ghlpLRmjcy",0.8689
325,2019-07-10 09:31:00,1,1,"Market view on #TTMobile : #ES_F and #NQ_F are lower. #FESX , #OMXS30 , and #TOPIX are higher. #ZB_F , #Gilts and #JGB are down. #Bunds are up. #DX_F , #bitcoin , #crude , #corn , #lead and #ironore are higher. #Natgas , #gold , #silver , #wheat , #soybeans , #coffee and #cocoa are lower. pic.twitter.com/Wa3mD7ERGY",-0.5267
327,2019-07-10 09:31:00,1,6,"Time for some amateur archaeology. Iron ore , beeswax tablets, flint hand axes, bronze spear heads, Roman coins, nettle string, objects of worship, blue dye from woad for body decoration. pic.twitter.com/C5OzhD5bif",0.6597
330,2019-07-10 09:31:00,0,1,"We deals with three industrial minerals like Bentonite, Attapulgite, and Barites. All are considered for as important mineral various industries such as Oil and Gas, Iron ore palletization, Foundry & casting , Civil engineering application, http://www. swellwell.com pic.twitter.com/5rAJd3t2vH",0.5106
333,2019-07-10 09:31:00,1,9,"Raw Material & Semi-finished Working on an exclusive basis, we can establish new supply chain options (spot & framework agreements) for our customers in a number of raw materials and semi-finished products including: Billets Slabs Pig Iron Iron Ore #Scrap http:// cobiglobal.co.uk/raw-material/ pic.twitter.com/m6gcejTvYe",0.2023
335,2019-07-10 09:31:00,0,1,"Isn't it amazing how a word can completely change the interpretation of a law? And solves a lot of problems too. For @nmdclimited , it meant re-opening of a mine. and for @jswsteel , better supply of iron ore and healthier margins. #donimalai #nmdc #mining #jswsteel #ironore https:// twitter.com/moneycontrolco m/status/1181154001498230784 …",-0.1955
336,2019-07-10 09:31:00,1,1,"No he stated cutting trees for no reason is wrong, and about furnitures in home, think about how much man power it needs to extract metal from earth, how deep one should go now a days, visit iron ore mine in Bellary, how much env pollution they are making, and no rocks available",-0.8481
344,2019-07-10 09:31:00,0,1,MAX Plant Surplus Stock on sale. Contact us for full lists at discounted prices. #MAXPlant #YourProjectPartner #ironore #mining #mineralprocessing #heavyequipment #miningequipment #miningindustry pic.twitter.com/Ip6vrjpNV1,0.0516
349,2019-07-10 09:31:00,0,1,"@VickiExplores found you! It's Wojtek, the polish army bear. Hope you're well! You might recall but I mentioned the Saharan Iron Ore train. There is a short film about how it supports otherwise isolated communities it the depths of the desert. Enjoy! https:// m.youtube.com/watch?v=jEo-yk jmHgg&t=74s …",0.8392
353,2019-07-10 09:31:00,5,13,"The Chinese shift to high grade #ironore will strand lower grade producers, such as FMG. Hence FMG's bid for #Simandou . #Zanaga is equally huge and high grade (66%+ fe) with China now building out the critical infrastructure. #ZIOC JV with #Glencore https://www. reuters.com/article/us-chi na-ironore-analysis-idUSKCN1VA0CX … pic.twitter.com/8OwcndyXlE",-0.29600000000000004
359,2019-07-10 09:31:00,4,8,"He sort of has to.The economy is fucked, unemployment is up, housing market is in free-fall, industry is dead, iron ore prices are falling and the dollar is in the toilet, he is looking at a 44 challenge and Timmy is in HK protesting for democracy. He must be shitting his pants",-0.9552
360,2019-07-10 09:31:00,1,3,Iron ore trains dislodged in BHP dumper bingle at Port Hedland https:// thewest.com.au/business/minin g/iron-ore-trains-dislodged-in-bhp-dumper-bingle-at-port-hedland-ng-b881345073z?utm_campaign=share-icons&utm_source=twitter&utm_medium=social&tid=1570424100320 …,-0.29600000000000004
368,2019-07-10 09:31:00,0,1,Do you buy soybeans in bulk? How about iron ore ? Crude oil?,-0.6416
424,2019-06-10 09:31:00,4,10,"Last year the city was forced to orchestrate a complicated move of the 610-foot retired iron ore freighter, to allow for the cleanup of polluted sediment. Now it's about ready to make the trip back https://www. mprnews.org/story/2019/10/ 06/museum-ship-william-irvin-readies-return-duluth …",-0.3818
427,2019-06-10 09:31:00,39,12,"Emphasising on the need for sustainable #mining , with vast urbanisation & growing forest cover, State has lost a lot of mineralised area & the situation will worsened if the iron ore activities don't resume immediately. #Goa #GoaMining @DrPramodPSawant @JoshiPralhad @nsitharaman",-0.5423
428,2019-06-10 09:31:00,26,9,"The closure of iron ore #mining industry has resulted into State & Central govt. facing revenue loss to the tune of Rs 5,800 crore, adding that people employed in the sector have also lost monthly Rs 150 crore, which they were earning in form of wages & salaries. @nsitharaman",-0.5574
429,2019-06-10 09:31:00,6,7,"A 5-10% drop in Chinese #steel demand in 2020 could see #iron ore prices fall to $50/t or lower, underpinned by the view Chinese demand - though hardly robust at present - is set to slide over the coming year http:// ow.ly/GWAE30pFhRW",-0.4927
442,2019-06-10 09:31:00,0,1,Miners mostly here as well. Iron ore in Utah.,0.2732
507,2019-05-10 09:31:00,1,1,"1.Junior Geologists Needed •B. Sc in Geology •Minimum of 3 years’ experience •Should have experience in iron ore , base metals, rare earths and precious metals •Should be able to carry out prospecting and exploration functions such as identification of ore mineralisation,",0.6808
512,2019-05-10 09:31:00,7,21,The huge $23bn bill for #Simandou dissuades the Majors. In direct contrast the Chinese are building out Congo infrastructure for #Zanaga leaving a mine CapEx bill of just $2bn for the huge and high grade #ironore resource. JV between #ZIOC and #Glencore pic.twitter.com/QRq3lIKf0O,0.5574
514,2019-05-10 09:31:00,0,1,"Seriously, man, we'll be rich with all the kangaroos and iron ore .",0.4404
517,2019-05-10 09:31:00,18,8,Government Primary Schools of Kadleguddu & Tanigehalli appreciated the efforts put by #Vedanta #SesaGoaIronOre Karnataka division for organizing the #HealthCamp . #HealthForAll #HealthCare #CSR @CMofKarnataka @drharshvardhan @sauvickmazumder @AnilAgarwal_Ved pic.twitter.com/k86I9EDnBW,0.5106
519,2019-05-10 09:31:00,0,6,"Here we go, transmuted into iron ore , PBR textures and all. Substance Designer is such good fun! Models from last shot above (in preview), white reference photo below. pic.twitter.com/aE2yMVTz0g",0.7574
522,2019-05-10 09:31:00,0,3,"Australia'a economy is rich through mining. Iron ore , copper, aluminium, uranium, coal, gold, silver, rare earths, opals. Oil and natural gas. Primary producers. Not a model for the UK. UK non EU trade is increasing - while in the EU.",0.7269
523,2019-05-10 09:31:00,0,1,Faz um contrato de SGX MB Iron Ore cfr China (65% Fe Fines) Swaps na bolsa de Singapore. Tvz te ajude a construir um escudo de ferro para se defender.,0.1027
527,2019-05-10 09:31:00,0,1,Sadly Sh Rash can’t supply PSM with scrap as the mill has blast furnace which produces steel from iron ore,-0.6705
529,2019-05-10 09:31:00,2,16,"We have lots of iron ore , copper and coal and are 7-10 days by ship from NE Asia. How about you idiot? https:// twitter.com/darrengrimes_/ status/1180165166136221696 …",-0.5106
531,2019-05-10 09:31:00,56,1290,"The blue stuff on your map is easier to move goods over than the green stuff. Average sea freight time to Dampier from China is 9 days (Sydney is 15, but a lot of our iron ore and coal ships from up north). To the UK it's 29.",0.2263
536,2019-05-10 09:31:00,2,56,Yes we just upload our iron ore and coal to Dropbox and sell the link to China.,0.4019
539,2019-05-10 09:31:00,0,5,"I know I'm probably way ahead on this but just started playing this new 8-bit block building game where I've built this crazy house with a red fucking bed in it that I made myself and I almost screamed when I found a pocket of iron ore next to some lava, it's called Minecraft",-0.831
541,2019-05-10 09:31:00,1,5,#Odisha government has invited financial and technical bids to grant #mining leases for 10 #iron ore and #manganese blocks. #SaturdayThoughts https://www. business-standard.com/article/econom y-policy/odisha-govt-invites-bids-for-10-iron-ore-and-manganese-blocks-119100401499_1.html …,0.1531
549,2019-05-10 09:31:00,0,17,"Maybe bcos it has some of the largest reserves of gas, gold, iron ore , lithium, etc etc in the world. It's primarily a resource economy, reliant on China, Japan and SE Asia for trade...you know...its neighbours .",0.128
629,2019-04-10 09:31:00,23,20,#Iron based dyes set to be the future of inexpensive and eco-friendly Solar Cells. This difficult feat was succeeded by the researchers at the Lund University. @lunduniversity #Iron4All #innovations #Ironomics #research #SolarCells #FridayFeeling pic.twitter.com/7Uuc4h4puG,-0.0194
631,2019-04-10 09:31:00,0,1,No WAY?! Newman is my home town 1st job was at Whaleback -previous to current work I was part of Management team ran operated Orebody 18 and Jimblrbar. My Dad was manager - Ore processing BHP iron ore and spent most of time at Mining Area C and Yandi - what a small world,-0.3595
638,2019-04-10 09:31:00,1,2,This pict is of Joda region which has 1 of the highest iron ore reserves and generates a good revenue for state and country but still the ppl of this area are denied basic fundamental ri8s. Living stds r very appalling and crummy. @CMO_Odisha @PMOIndia @nitin_gadkari #achhedin pic.twitter.com/TF5CfjTbjB,-0.7642
639,2019-04-10 09:31:00,0,1,...it's also the name of Henry Ford's original car manufacturing plant on the US's Detroit River border with Canada - the ''Rouge'' facility. Canadian iron ore was offloaded from ships and stock-piled for the steel smelters - hence ''Rouge'' (meaning ''red'' in French)... pic.twitter.com/JtBbP4Mvin,0.3182
640,2019-04-10 09:31:00,0,2,Yes- customs inspections for WA iron ore ... a knowing and potentially serious strike against @JoshFrydenberg budget.,0.2263
648,2019-04-10 09:31:00,2,5,Aussie inventor won the 2000 ABC New Inventors final with a process to recover over 3 ltrs oil from an old car tyre.. we cld dump the mideast oil barons tomorrow.... burn plastic in the presence of iron ore and the released carbons combine n make steel.. Leave Coal in the ground,0.2263
649,2019-04-10 09:31:00,2,8,International trade numbers for August 2019 show iron ore export values easing. This reflects supply side issues have stabilised and Chinese demand has slowed slightly. WA (49%) still responsible for more than twice the value of exports than any other State. #wapol pic.twitter.com/578lTQ6yb9,0.7845
655,2019-04-10 09:31:00,25,27,#SesaTechnicalSchool and Value Added Business organised series of Cleanliness drives and Road Safety initiatives to mark #GandhiJayanti . #SwachhataHiSeva #RoadSafety #Vedanta @STS_ITI @DrPramodPSawant @narendramodi @MFGngo @VedantaLimited pic.twitter.com/RdCDmSHjF6,0.6369
656,2019-04-10 09:31:00,0,1,The Japanese produce cars and motorbikes because they are good at it. We produce sheep and iron ore because we are good at that. Pyle went broke because they couldn’t complete. Same with GMH. I don’t want to prop up unviable old cottage industries with no future.,0.2732
660,2019-04-10 09:31:00,1,1,".SAVE OUR MEDICARE! INCREASE THE LEVY. RESIST BIG HEALTH, BIG PHARMA AND MEDICINE FOR PROFIT. HEALTH IS A HUMAN RIGHT NOT A PRIVILEGE! especially a nation as rich, and rolling in iron ore $, as this one",0.9245
661,2019-04-10 09:31:00,4,17,"India is now the world's 2nd largest producer of crude steel at 114mtpa and will be importing about 40-50mt ironore in 2020. This, along with Vietnam's surge and rising steel output in MENA, will keep #ironore market tight for the rest of the decade. New price highs coming. https:// twitter.com/FIMI_India/sta tus/1179992627506073600 …",-0.5719
668,2019-04-10 09:31:00,0,2,$ VMS Venture is focussed on delivery its first shipment of Iron Ore under its Offtake Agreement with Prosperity Steel by Quarter 4 of calendar year 2019.,0.4939
669,2019-04-10 09:31:00,0,3,"Even Karbi Anglong have lots of natural mineral resources like iron ore , lime stone, coal, varieties of stone & rocks but it is ignored since long time & hope Govt take it serious & can developed Karbi Anglong.. @TuliramRonghang @Mongve_Rongpi",0.4497
670,2019-04-10 09:31:00,4,9,#Odisha govt to reserve two mines—Sukinda chromite mine currently held by Tata Steel & Guali iron ore block of present lessee RP Sao as lease period of both the blocks would end on 31st March 2020 @meeramohanty pic.twitter.com/2KXZwIvR2k,-0.5859
675,2019-04-10 09:31:00,0,1,The recent amendment in the mines and minerals development and regulation act is likely to clear the way for state iron ore miner NMDC to resume operation at the shuttered Donimmalai mine. #MOMarketUpdates,0.3818
678,2019-04-10 09:31:00,35,158,50% chance of rate cut to 0.5% by November. Wreck savers and AUD wealth for a final pump of the housing market and to devalue the dollar for iron ore and coal. Before the housing market keels right over and finishes everyone off. #auspol https://www. smh.com.au/business/the-e conomy/retail-figures-to-set-off-alarm-bells-at-the-rba-20191004-p52xmr.html …,0.0516
679,2019-04-10 09:31:00,2,13,#zioc Increased high grade iron ore demand globally bodes well for West African supply over the next 5 years. It’s all about quality which the #Zanaga mine has billions of tonnes of 68%+ ore... https:// twitter.com/magnetitemines /status/1179944378699091968 …,0.4019
680,2019-04-10 09:31:00,4,2,Bet DFAT and Trade officials are horrified. We only have a surplus because of iron ore to #China #auspol https:// twitter.com/phbarratt/stat us/1179878841411493888 …,-0.5423
747,2019-03-10 09:31:00,1,1,Asia-Pacific Daily Economic Briefing: #Australia Exports Lose Some Shine. #Coal and #ironore https://www. economy.com/dismal/analysi s/todays-economy/376513/AsiaPacific-Daily-Briefing-Aussie-Exports-Lose-Some-Shine/ …,-0.4019
748,2019-03-10 09:31:00,1,2,"Market view on #TTMobile : #ES_F and #FESX are higher. #FDAX , #FTSE100 and #HSI are lower. #ZB_F , #Bunds , #Gilts and #JGB are up. #WTI , #natgas , #gold , #lead , and #canola are higher. #DX_F , #bitcoin , #silver , #copper , #zinc , #ironore , #corn , #wheat and #soybeans are down. pic.twitter.com/ounGGXHFPS",-0.29600000000000004
758,2019-03-10 09:31:00,1,2,"And what's the direction been? And where will AUD go as the global economy tanks, and China stops buying large quantities of iron ore and coal? pic.twitter.com/vGek0kSeSv",-0.2406
759,2019-03-10 09:31:00,3,4,Delays in auctions of mining leases likely to disrupt India's iron ore production and raise the prospect of higher imports. http:// bit.ly/2oCzH9g,0.29600000000000004
760,2019-03-10 09:31:00,0,1,"Striker impactors have processed all kinds of materials from Iron Ore , glass, feldspar, RAP, concrete and even helping the Malaysian government crush and dispose of illegal ivory. This one is in South Africa crushing coal. #StrikerCrushing #BuiltToLast #MobileImpactCrusher pic.twitter.com/JhZIq2orxe",-0.6705
762,2019-03-10 09:31:00,2,3,6) VALE is highly undervalued Co added $11Bn+ revenue from iron ore /pellet business over last 4 years. Segment revenue increasing at a CAGR of 19.2% from $15.9Bn in 2015 to $27Bn in 2018 Revenue growth on double-digit NOT reflected on $ VALE #BuyLowSellHigh $ EWZ $ BRZU pic.twitter.com/y9vdN5W1nN,0.3818
763,2019-03-10 09:31:00,2,3,Could you also mention its not cool for Brazil to selfishly block the decarbonisation of an entire global sector (shipping) because an iron ore company told them to,-0.7401
764,2019-03-10 09:31:00,0,1,Iron ore experts join forces to found bauxite and gold firm SMIG #Guinea #SierraLeone http:// ow.ly/aCsa30pDAOX,0.29600000000000004
768,2019-03-10 09:31:00,0,1,"Yes. Let's use only the finest British iron ore and coal in our refineries and steelworks. Let's use only top quality British bauxite for our aluminium. But, most importantly, sugar only from British beet. Belize? Cane sugar? Pah!",0.7424
771,2019-03-10 09:31:00,0,2,It would be something around that (maybe slightly bigger range). I suspect the iron ore price will come off a bit more though,-0.235
773,2019-03-10 09:31:00,0,2,"Interesting spin on financials. 18/19 budget on expense growth was 0.9%. 2.1% actual growth is a blowout in costs. This year, budget on track to receive $5bn more in iron ore royalties and gst compared to 2015/16. In meantime households and domestic economy in tatters.",0.7845
774,2019-03-10 09:31:00,1,6,"than at the beginning of 2016. 76% of this is price; 24% volume. And clearly, it is the super charged rise and then fall in the price of iron ore that is the one to watch here!! pic.twitter.com/gYvTocY04F",0.7494
779,2019-03-10 09:31:00,2,4,"The 65% Fe iron ore derivative contract offered by the @SGX registered record levels of traded volume in September 2019, with the contract seeing participation from a diverse set of stakeholders in the iron ore value chain. Learn more: http:// spr.ly/60141Dz2m #65Fe #ironore pic.twitter.com/qLQYGszWJ1",0.34
780,2019-03-10 09:31:00,0,1,"Given the fat margins embedded in those #ironore revenues, why is $ AUD so weak?",-0.5777
783,2019-03-10 09:31:00,0,3,Restored from almost any attack. Due to cast spells to be cursed for iron ore in that it passes over.,-0.1082
785,2019-03-10 09:31:00,0,1,Vale expects to finish paying for most of the expenses related to the dam disaster in January by 2021. It projected costs from halted operations to fall from $3-$4/t of iron ore in 3Q19 to $2.5-$3.5/t in 4Q19 http:// ow.ly/tAEc30pECPo,-0.6249
788,2019-03-10 09:31:00,4,7,Higher iron ore imports by India loom as mining leases expire https:// bloom.bg/2oEw5na,-0.2263
790,2019-03-10 09:31:00,0,3,Higher iron ore imports by India loom as mining leases expire. Read: http:// bit.ly/2oCzH9g pic.twitter.com/jOZwAD9aPZ,-0.2263
792,2019-03-10 09:31:00,10,12,Higher iron ore imports by India loom as mining leases expire https:// bloom.bg/2na9Vc2 pic.twitter.com/tg1CtNgLA0,-0.2263
793,2019-03-10 09:31:00,2,4,Higher iron ore imports by India loom as mining leases expire https:// bloom.bg/2nP0WNP,-0.2263
795,2019-03-10 09:31:00,1,4,"The Nordic Countries economic success comes from Norway’s Oil, Sweden’s Iron Ore , and Finland’s Forest. They are creating huge carbon footprints. They also rank high on carbon emissions. Didn’t AOC say we have 12 years to cut emissions in half?",0.7269
797,2019-03-10 09:31:00,0,1,Higher iron ore imports by India loom as mining leases expire https:// bloom.bg/2n4HHiH,-0.2263
851,2019-02-10 09:31:00,0,2,It’s Ancient Greece all over again. Maybe they can figure out how to refine iron ore and bring us out of this terrible Bronze Age.,-0.561
855,2019-02-10 09:31:00,0,1,"I was supposed to be packing up and cleaning Hubby’s company unit, but DCI Ryan comes before red dirt, iron ore and packing boxes, Oh well back to vacate cleaning and packing unless I re-read it",-0.1154
863,2019-02-10 09:31:00,2,6,"China’s imports of major commodities, including iron ore and coal, appeared to have again shown resilience in September, challenging the prevailing narrative that China is weakening http:// ow.ly/bnSv30pEer8",-0.1779
864,2019-02-10 09:31:00,5,5,Celebrating the #FatherOfTheNation on his 150th birth anniversary. #DeshKiZarooratonKeLiye #GandhiJayanti,0.5719
867,2019-02-10 09:31:00,0,1,No lie,-0.29600000000000004
869,2019-02-10 09:31:00,1,4,They have been forecasting doom and gloom for iron ore as long as I can remember -always wrong. Iron Ore will remain strong for decades - Iron ore 's party days all but over https://www. miningnews.net/barry-fitzgera ld/opinion/1372701/iron-ore%E2%80%99s-party-days-all-but-over?utm_source=10%2F02%2F19-02%3A03%3A10-941+-+Discovery+to+lead+to+next+leg+of+Evolution+value+creation+Westgold%27s+Newton+to+leave%2C+Cook+to+transition+Fitzy+on+iron+ore+%E2%80%98Extremely+strong+interest%E2%80%99+in+Clean+TeQ+process+%E2%80%98Greta+Thunberg+Scenario%E2%80%99+equates+to+%2420%2C000%2Ft+copper&utm_medium=email&utm_campaign=10%2F02%2F19-02%3A03%3A10-941+-+Discovery+to+lead+to+next+leg+of+Evolution+value+creation%3B+Westgold%27s+Newton+to+leave%2C+Cook+to+transition%3B+Fitzy+on+iron+ore%3B+%E2%80%98Extremely+strong+interest%E2%80%99+in+Clean+TeQ+process%3B+%E2%80%98Greta+Thunberg+Scenario%E2%80%99+equates+to+%2420%2C000%2Ft+copper&utm_term=Discovery+to+lead+to+next+leg+of+Evolution+value+creation+Westgold%27s+Newton+to+leave%2C+Cook+to+transition+Fitzy+on+iron+ore+%E2%80%98Extremely+strong+interest%E2%80%99+in+Clean+TeQ+process+%E2%80%98Greta+Thunberg+Scenario%E2%80%99+equates+to+%2420%2C000%2Ft+copper&utm_content=31087&gator_td=khzeIXPPZCLdjWDpXe1tlwszxpVG6jrRR%2FVXz80akBwrsm8mwOES6LNQ5GXUIZo54GVcZvo2gkpkMeJ7FITBVK0SG%2BWfzfmhGwDaEhGkiR7t2tQHArVFugXoB4m3OXtSPtXudGr8HM43nHBidN31N%2FhiRQbeNVQuWvC7k0J67KJsRYet7O4tQRaS1xYPydqyEzLJMf6M1hQ%2BNUs0iJMwumU6K3XjSfh2ezaqyckBcqa5srGKlDNcw1zTnYIOjAhOqnQqUwgis24Yh8jhq8cciiU91itjvTxGXsCiXzSHe2Y%2BXYipP%2FbNHSj1bwZGlUNviqM61PoK328yKfyGiA%2FLquWVJzeUJ7tXN9S9K8D%2BAb9uogC%2BEgM9V05ukiAWdi3nXfv%2FEvEFsAXvvF%2BjtpZbbDZl3luWwXRL3FRANh0F2AH67HUC0YO9gC%2BXsaVJg76K5qrO4bd4FYNfNB7FwriRUQ%3D%3D#.XZRE19PlC4I.twitter …,-0.29600000000000004
