username;date;retweets;favorites;text
Gadgets_S_J;24/09/2019 18:36;3;3;With 9 months of this Budget year to go, @ScottMorrisonMP attacks China. China has the power and size to stop buying Australian Coal and Iron ore immediately and for the rest of the Budget Year. Goodbye #FauxSurplus #China #AusPol
Trading_Tech;24/09/2019 17:31;2;1;Market view on TT: #ES_F , #NQ_F , #FESX and #NK_F fell. #VIX , #ZB_F , #Bunds and #JGB rose. #Brent , #WTI , #gas and #natgas fell. #Gold and #ironore rose. #Silver and #copper fell. #Bitcoin and #ethereum are lower. #DX_F fell. #Euros and #yen rose. pic.twitter.com/rbFjJrSNto
ChiefJosheola;24/09/2019 11:56;0;9;And I, for one, welcome our new robot overlords. I'd like to remind them that as a trusted twitter user, I can be helpful in rounding up others to toil in their underground iron ore caves. https:// twitter.com/WIRED/status/1 176497063116324865 …
ceciliavdm;24/09/2019 10:35;0;4;I now work in iron ore mining in Australia. And this video captures the essence of it perfectly. https:// youtu.be/mJy5t1zbPN4
GauravSaroliya;24/09/2019 07:44;1;4;AUD: Lowe's speech got drowned earlier. He talked recovery and didn't signal another imminent cut. Meanwhile AUDUSD's divergence from iron ore persists. We've liked AUDNZD. AUDCAD could be the next. pic.twitter.com/o9LWAEey7C
patrickrooney;24/09/2019 07:20;0;2;“Purchases have fallen this year despite high iron ore prices and a tight domestic scrap market...” #ironore #scrap #metals #steel https:// twitter.com/StuartLWallace /status/1176410306052050944 …
MinorMinerLSE;24/09/2019 07:09;2;19;08/03/2018 and in their update #ZIOC were very specific about the new mineral port at Pointe-Noire: '..new port development could provide a key catalyst in allowing the #Zanaga 12Mtpa Stage One development to derisk and proceed towards seeking finance'. https://www. lse.co.uk/rns/ZIOC/zanag a-iron-ore-project-update-gxi6j118e1ve954.html … pic.twitter.com/bkntMDHa0f
MinorMinerLSE;24/09/2019 06:57;2;16;Very interesting from @Zanaga_ Iron_Ore Previously both #ZIOC and senior Congolese political figures had insisted that the SEZ land at Pointe-Noire had ALREADY been expropriated. In that light today's tweet detailing '..port, power and rail links..' must be a 'Heads Up!!
jkgrahsm;24/09/2019 05:28;0;5;Coal is not our No. 1 export, iron ore is. We don't need coal, we can export other things.
SmythEkin;24/09/2019 04:50;3;4;Gina's company is primarily an iron ore producer. Coal is a relatively minor earner.
DailyFX;24/09/2019 02:30;2;5;$ AUD watchers should keep a close eye on iron ore prices. They fell sharply last month, albeit from very high levels. Get your market update from @DavidCottleFX here: https:// bit.ly/2zPJRW6 pic.twitter.com/zLMk1CztWx
Picketer;24/09/2019 02:09;1;6;Eat the Rich did an episode on Gina Rinehart and they read out her poem that's carved on a block of iron ore and they did no rate it highly https:// podcasts.apple.com/us/podcast/eat -the-rich/id1473548025 …
perthisok;24/09/2019 01:32;1;1;Price support delivers record WA iron ore , gold sales The value of WA’s resources exports surged $30 billion to $145 billion in the 2018-19 year on the back of record sales of iron ore and gold as well as increas... http:// twib.in/l/EBekApAq5Ly5 via @thewestcomau #perth #westaustralia pic.twitter.com/9Ic7hdjMkL
LennaLeprena;24/09/2019 00:37;0;9;China should just say, rightio, we'll start by banning ALL imports of coal and iron ore from you guys then Scuzmo..how does that grab ya!
sando88;23/09/2019 23:58;2;3;Morrison will carry the can when China reduces our iron ore imports shortly.
The_AMEGroup;23/09/2019 23:50;3;2;#IRONORE US$93.44/t+2.15%. India's state-run iron ore producer, NMDC, has lowered its sales price for iron ore lump and fines by Rs 400 (approx. $5.6). https:// bit.ly/2mK6oAJ pic.twitter.com/sYw1qFiN5i
monsieur_jer;23/09/2019 23:05;0;0;What if one day iron ore becomes scarce and we regret intentionally sinking all of those obsolete metal ships
MAXPlantAu;23/09/2019 22:50;0;0;Discounted MAX Plant Trade Ins stock. Contact us for full lists at discounted prices. https:// bit.ly/2mBkSm7 #MAXPlant #YourProjectPartner #ironore #mining #mineralprocessing #heavyequipment #miningequipment #miningindustry pic.twitter.com/WCeLt4bEFg
KrankyKerry;23/09/2019 22:46;0;2;Are we not Complicit with #China on the Trade War , we export Millions of tons of Coal , Iron ore to China every yr , some must be used to make Goods that are sold to America , Hope Trumpy does not wake up to that fact , Be MATES no more
Commoder64;23/09/2019 22:20;0;1;What the shit kind of logic is that? God gave us iron ore , you have to eat chunks of hot iron!
tomwyatt48;23/09/2019 22:16;0;11;Isn't Sweden the country that provided Nazi Germany with iron ore ? How can they fight climate change when they can't fight for themselves. Arrogance, yes.
MicheleBrazelt1;23/09/2019 22:06;0;1;Umm unfortunately I actually have a bleeding disorder. I have chronic iron anemia as a result and I don't process iron terribly well. We knew in the 80's that iron ore tablets were a problem, in the mid 90's fero (plant) iron became affordable but it didn't react well either.
Joe53100491;23/09/2019 22:00;0;0;@JagexWeath go check out world 391 mining guild. There is a very high level broken bot at the 3 iron ore spot walking the same pattern over and over. Been over an hour and he is still walking the same exact pattern.
TheMiningBot;23/09/2019 21:57;0;0;I just mined 7 iron ore !
getnimblex;23/09/2019 21:15;0;0;API Management has an objective of developing an iron ore export operation in Pilbara, WA. Here's how we helped them with their Contract and Procurement Management - https:// hubs.ly/H0kV7K_0 #procurement #contractmanagement pic.twitter.com/bdx6iZBXHK
NextLevelAmbas1;02/10/2019 14:18;3;4;Nigeria is rich in iron ore , yet spends N887bn importing steel, metal, aluminum and other derivatives for construction and industries. Two Nigerian banks have agreed to invest $600 million into a steel plant in Kaduna that will employ 3,500 staff and start a turnaround in steel! pic.twitter.com/npMqqZWUZi
TheMiningBot;02/10/2019 13:56;0;0;I just mined 9 iron ore !
Autobot50091035;02/10/2019 11:51;0;1;I feel like iron ore but on the outside I'm a wet sponge
mark_muleya;02/10/2019 10:10;0;0;You want to see petroleum,natural gas,crude oil,gold,oil,coffee,diamonds,copper, iron ore ,platinum,uranium,beans,cocoa,livestock corruption,imperialism,dictatorship,poverty-go to Africa.
Ironninja1116;02/10/2019 09:42;0;0;Oh no I’m scared mom pic.twitter.com/sozoltSfge
MY21_Oracle;02/10/2019 07:35;0;0;Iron ore 62% Fe spot (cfr Tianjin) US$88.6/t vs US$88.8/t
MagnetiteMines;02/10/2019 06:31;0;0;Big steel can reform its way to a longer life - Grade will matter in the push to reduce CO2 #steel #ironore https://www. hellenicshippingnews.com/big-steel-can- reform-its-way-to-a-longer-life/ … pic.twitter.com/zYXgS9dBSQ
SesaGoaIronOre;02/10/2019 05:49;5;5;Celebrating the #FatherOfTheNation on his 150th birth anniversary. #DeshKiZarooratonKeLiye #GandhiJayanti
HammerManCraig;02/10/2019 04:25;0;0;hsm iso ce jaw crusher used in iron ore mini | Stone Crusher Parts Plant http:// the-research.site/qMzTX2PI
iron_northwest;02/10/2019 03:36;1;4;They have been forecasting doom and gloom for iron ore as long as I can remember -always wrong. Iron Ore will remain strong for decades - Iron ore 's party days all but over https://www. miningnews.net/barry-fitzgera ld/opinion/1372701/iron-ore%E2%80%99s-party-days-all-but-over?utm_source=10%2F02%2F19-02%3A03%3A10-941+-+Discovery+to+lead+to+next+leg+of+Evolution+value+creation+Westgold%27s+Newton+to+leave%2C+Cook+to+transition+Fitzy+on+iron+ore+%E2%80%98Extremely+strong+interest%E2%80%99+in+Clean+TeQ+process+%E2%80%98Greta+Thunberg+Scenario%E2%80%99+equates+to+%2420%2C000%2Ft+copper&utm_medium=email&utm_campaign=10%2F02%2F19-02%3A03%3A10-941+-+Discovery+to+lead+to+next+leg+of+Evolution+value+creation%3B+Westgold%27s+Newton+to+leave%2C+Cook+to+transition%3B+Fitzy+on+iron+ore%3B+%E2%80%98Extremely+strong+interest%E2%80%99+in+Clean+TeQ+process%3B+%E2%80%98Greta+Thunberg+Scenario%E2%80%99+equates+to+%2420%2C000%2Ft+copper&utm_term=Discovery+to+lead+to+next+leg+of+Evolution+value+creation+Westgold%27s+Newton+to+leave%2C+Cook+to+transition+Fitzy+on+iron+ore+%E2%80%98Extremely+strong+interest%E2%80%99+in+Clean+TeQ+process+%E2%80%98Greta+Thunberg+Scenario%E2%80%99+equates+to+%2420%2C000%2Ft+copper&utm_content=31087&gator_td=khzeIXPPZCLdjWDpXe1tlwszxpVG6jrRR%2FVXz80akBwrsm8mwOES6LNQ5GXUIZo54GVcZvo2gkpkMeJ7FITBVK0SG%2BWfzfmhGwDaEhGkiR7t2tQHArVFugXoB4m3OXtSPtXudGr8HM43nHBidN31N%2FhiRQbeNVQuWvC7k0J67KJsRYet7O4tQRaS1xYPydqyEzLJMf6M1hQ%2BNUs0iJMwumU6K3XjSfh2ezaqyckBcqa5srGKlDNcw1zTnYIOjAhOqnQqUwgis24Yh8jhq8cciiU91itjvTxGXsCiXzSHe2Y%2BXYipP%2FbNHSj1bwZGlUNviqM61PoK328yKfyGiA%2FLquWVJzeUJ7tXN9S9K8D%2BAb9uogC%2BEgM9V05ukiAWdi3nXfv%2FEvEFsAXvvF%2BjtpZbbDZl3luWwXRL3FRANh0F2AH67HUC0YO9gC%2BXsaVJg76K5qrO4bd4FYNfNB7FwriRUQ%3D%3D#.XZRE19PlC4I.twitter …
office_gmn;02/10/2019 02:53;0;0;#China Holidays Set To Skew #IronOre Price - https://www. hellenicshippingnews.com/china-holidays -set-to-skew-iron-ore-price/ …
FarmerAngela5;02/10/2019 02:21;0;0;iron ore explosive http:// mylinks.tech/BtNRvBRA
therambler99;02/10/2019 02:19;0;0;This is weird. It’s almost like they are trying to send some kind of signal about stimulating the economy or something. Very odd. Probably best if you continue to do nothing and wait and see what happens. If iron ore prices go up later you can play it off as good management.
zorropetro;02/10/2019 01:41;0;0;Did everyone get $1080 because that's what the voters were told ?They were not higher taxes to the majority and franking credits are not taxes feel free to take it to court if you think higher taxes & franking credits are the same.Stop with your envy of Iron ore rates labor had
macro_business;02/10/2019 01:40;0;1;Brazil’s iron ore rebound disappoints https://www. macrobusiness.com.au/2019/10/brazil s-iron-ore-rebound-disappoints/ …
ergoinfo;02/10/2019 00:44;0;0;#argus - China iron ore pellet: Prices rise on demand https:// ift.tt/2osm0cD
_jw0ww_;01/10/2019 21:30;0;12;today i offended grown men by: - identifying iron ore - not knowing it was football ssn
Market_Screener;02/10/2019 20:44;0;0;IRC : K&S - OPERATING AT 95% CAPACITY GOOD IRON ORE PRICE ENVIRONMENT #IRC #Stock #MarketScreener http:// marketscreener.com/IRC-LIMITED-67 64986/news/IRC-K-S-OPERATING-AT-95-CAPACITY-GOOD-IRON-ORE-PRICE-ENVIRONMENT-29329395/ … pic.twitter.com/BcMjX7Bbwz
vladimirjdelic;02/10/2019 19:33;0;0;India mandates extension to mining leases to secure iron ore supply http:// dlvr.it/RFNXgP
ShaneOliverAMP;02/10/2019 18:55;2;7;Eurozone shares -3% US shares -1.8% heading back to Aug lows with ongoing growth concerns (poor auto sales not helping) US 10 yr yld -4bp to 1.6% Oil -2.1% Gold +1.1% Iron ore flat ASX futures -1.8% $ A 0.6706 with $ US index -0.1% pic.twitter.com/68pePYhUJW
MagnetiteMines;02/10/2019 18:45;0;3;"For #mining CEOs, pressure to cut carbon footprint 'growing every day'. The transition to a low-carbon economy is under way and the pressure to accelerate this transition seems to grow every day,"" the report said. #IronOre #GradeMatters #ausbiz https://www. smh.com.au/business/compa nies/for-mining-ceos-pressure-to-cut-carbon-footprint-growing-every-day-20191002-p52wri.html …"""
CommSec;02/10/2019 17:22;10;20;Good Morning US market close: Dow Jones -494 pts or -1.8% S&P 500 -52pts or 1.8% Nasdaq -123.pts or -1.5% #Gold +1.1% to US$1506/oz #Oil -2% to US$52.55/bl #ironore unch US$93.90/t 10y treasury yield 1.604% down 4bps SPI -122pts or -1.9% AUDUSD $0.6705 #ausbiz
Mtanga001;02/10/2019 16:39;1;1;Community company conflicts in Kenyans only large scale iron ore mine requires a rethink in research approach for visual evidence of the percived detrimental impacts of mining on land use land cover
dailypoliticaln;02/10/2019 16:30;0;0;Alderon Iron Ore $ AXXDF Shares Down 7.8% http://www. dailypolitical.com/?p=3107008
ChadElliottLive;02/10/2019 13:50;0;1;"The legend lives on from the Chippewa on down Of the big lake they called Gitche Gumee The lake, it is said, never gives up her dead When the skies of November turn gloomy With a load of iron ore twenty-six… https://www. instagram.com/p/B3H4YmEAepY/ ?igshid=1ooyap3eoojdj …"""
FastmarketsMB;02/10/2019 11:59;2;0;Delegates at the 19th China Steel & Raw Materials conference organized by China Iron & Steel Association were cautiously optimistic about demand for #ironore and #steel prices after the week-long holiday in the country. Learn more: http:// spr.ly/60161Dz90 #CISA | @deepali_MB pic.twitter.com/PEKKLZ6e8h
Harbinger1954;02/10/2019 09:56;0;0;Listen to the Labor Party, spend ,spend, and when Kevin and Julia took over Government, they had a full Piggy Bank to raid and almost double the Price for Iron Ore , and they wanted more. Classic!
TommyUdovich;02/10/2019 09:11;0;0;HELLO GUYYS VELCOME TO MY MINECRAFCT LETSPLAY TODAY VE AWRE GOING TO MIN FOR DIAMND AND SM IRON ORE
Nellbelle;02/10/2019 08:17;0;1;I was supposed to be packing up and cleaning Hubby’s company unit, but DCI Ryan comes before red dirt, iron ore and packing boxes, Oh well back to vacate cleaning and packing unless I re-read it
mvdn777;02/10/2019 08:09;0;0;Hello Australia, does this sort of thing sound familiar? https://www. msnbc.com/all-in/watch/m addow-on-corruption-in-the-oil-and-gas-industry-70309445760 … But with coal & iron ore
