,date,retweets,favorites,text,VADER score
57,2019-09-16 02:44,54,88,The weekend attack on the world's largest crude oil processing plant in Saudi Arabia that cut global oil supplies underscores how Aramco's stability is directly linked to its owners — the Saudi government and ruling family. By @ayaelb http:// apne.ws/JrkLbK2,-0.836
59,2019-09-16 00:12,3,38,"I might be wrong, but if we get our crude oil from Norway and the North Sea platforms, why are UK motorists going to be hit with fuel price rises at the pumps following the drone strike on Saudi oil facilities.",-0.8338
60,2019-09-15 23:35,258,350,"Dear #MAGA , be sure to thank Trump for: - helping N. Korea improve its missiles - adding $2,000 per household in new tariff taced - robbing our military to build a wall Mexico should have - putting farmers on corporate welfare - and now raising gas prices https://www. cnbc.com/2019/09/15/us- crude-oil-jumps-15percent-after-drone-strikes-disrupt-saudi-crude-production.html …",0.8885
61,2019-09-15 20:06,122,151,"UPDATE, #Saudi and #Iran Tension • Trump : US “locked and loaded” • Crude oil prices 18% • NSC Meeting concluded • US released sat. images • Saudi hasn’t made official Accusation after Houthi claimed • Aramco fixing facilities https://www. thenational.ae/world/gcc/saud i-aramco-races-to-repair-oil-facility-after-attacks-cut-country-s-production-by-half-1.910497 …",-0.7906
63,2019-09-15 09:22,17,19,Crude oil prices are expected to surge when Asian markets re-open Sunday night (U.S. time) as traders respond to Saturday's attacks against major oil processing and production sites in Saudi Arabia. https://www. axios.com/oil-prices-sau di-arabia-drone-strikes-aramco-22a2cda6-9312-4a56-bd1d-9cf519150b3a.html?utm_source=twitter&utm_medium=social&utm_campaign=organic …,-0.765
65,2019-09-14 07:28,48,43,"Drone attacks on Saudi 's Aramco Abqaiq oil processing facility, causing massive explosions. This is the largest the largest crude oil stabilisation plant in the world.There is no information about human casualties https://www. bbc.com/news/world-mid dle-east-49699429 …",-0.8316
74,2019-09-16 00:20,11,53,#OilPrices Jump The Highest Ever! Brent Crude Oil Soars 12% After Drone Attack Cuts Saudi Arabian Supplies https://www. abplive.in/business/oil-p rices-jump-the-highest-ever-brent-crude-oil-soars-12-after-drone-attack-cuts-saudi-arabian-supplies-1074784 …,-0.8516
77,2019-09-15 01:28,18,27,FX of biggest crude oil importers could start the week sharply lower if oil heads north towards $100/bbl due to drone attacks on Saudi oil plants. Indian rupee $ INR & Turkish lira $ TRY most fragile given big current account deficits. Also another headache for PBoC managing $ CNY pic.twitter.com/XjH11jTgOp,-0.8316
84,2019-09-16 01:18,130,316,"Following the Iranian attack on it’s two largest oil facilities, Saudi Arabia's energy minister said the strikes had reduced crude oil production by 5.7 million barrels a day - about half the kingdom's output. pic.twitter.com/nAGgKEDU1n",-0.802
85,2019-09-15 19:54,60,91,BREAKING: Trump warns U.S. is “locked and loaded” for a response to the “culprit” of this weekend’s attack on Saudi oil field http:// cnbc.com/id/106130682,-0.5423
91,2019-09-14 16:48,23,36,Latest: It’s more than 5m b/d Drone strikes hit more than half of Saudi crude oil output https://www. ft.com/content/b14d93 22-d6bb-11e9-8f9b-77216ebe1f17 … via @financialtimes,-0.7351
99,2019-09-15 15:42,1,14,"Drone strikes by Houthi rebels - Saudi Government is shutting down half of its oil output, which amounts to a loss of about five million barrels a day - or roughly 5 percent of the world's daily production of crude oil .Will this affect the prices of oil and increase inflation?",-0.7906
100,2019-09-15 14:10,10,12,"#Saudi attacks, supply risk could cause prices to test $80/b: S&P Global Platts Analytics | #crudeoil #OOTT * Saudi likely to maintain exports, use reserves * Spare capacity may be at risk by direct, serious offensive @BrianJScheid + @baldersdale story: http:// plts.co/wHXp50wa9BE pic.twitter.com/jGyHJrqQxg",-0.8555
102,2019-09-15 06:01,89,77,"World's #crudeoil supply under threat after attacks at #Saudi #oil facilities. Here's our #factbox on #oilprices , #infrastructure & #tradeflows : http:// plts.co/CXb850wagkl #OOTT #energy #SaudiAramco pic.twitter.com/MDHxG4aByO",-0.743
103,2019-09-15 01:04,32,72,"Saudi Aramco tells CNBC-TV18, attacks resulted in production suspension of 5.7 million barrels of crude oil per day. Work is underway to restore production and a progress update will be provided in around 48 hours pic.twitter.com/uARYs1HJQq",-0.3818
106,2019-09-14 11:52,41,40,"EXTRA: Saudi Arabia’s production shutdown amounts to a loss of about five million barrels a day, roughly 5% of the world’s daily production of crude oil https://www. wsj.com/articles/drone -strikes-spark-fires-at-saudi-oil-facilities-11568443375 …",-0.7184
107,2019-09-14 07:18,23,52,2-Will the attacks lead to lower crude oil exports? We do not know at this stage. Will they lower production? We do not know either. What do we know? Majority of Saudi oil exports goes through Abqaiq facilities. pic.twitter.com/dQ1iGELOrw,-0.8895
114,2019-09-15 11:52,1,19,"I think we might be able to tell who is long"" crude oil & refined products by their erudite and thoughtful discussion of the Saudi news & its implications going forward . #OOTT Meanwhile, ""short"" oil traders hurl drink-sloshing expletives & squeal like pigs caught under a gate.""",0.1027
115,2019-09-15 09:32,13,41,"The stream of crude oil that comes out of wells in Saudi Arabia is mixed with gaseous hydrocarbons like methane, butane and propane, liquid condensates. crude oil , water, and contaminants such as salts, sulfur, and sand. It cannot be refined into gasoline as is. ((Thread)",-0.5994
122,2019-09-14 04:53,13,35,Saudi Aramco fire: Drones attack world's largest oil processing factory in Saudi https://www. livemint.com/news/world/sau di-aramco-fire-explosion-at-largest-crude-oil-stabilization-plant-says-report-1568432885559.html …,-0.6705
126,2019-09-14 01:10,3,16,Fire at Saudi Aramco's largest crude oil stabilization plant https://www. livemint.com/news/world/sau di-aramco-fire-explosion-at-largest-crude-oil-stabilization-plant-says-report-1568432885559.html …,-0.7269
134,2019-09-14 12:07,11,22,"U.S. Gross Oil Total Imports and Exports of Crude Oil The U.S. has surpassed Russia and Saudi Arabia, and is the world's biggest oil producer https://www. isabelnet.com/?s=oil h/t @PictetWM #oilprice #wti #crudeoil #oilandgas #brent #OPEC #oott #Russia #SaudiArabia pic.twitter.com/PFHJ1E1GR1",-0.7783
135,2019-09-14 09:50,24,18,"Night time footage from social media showed flames and thick clouds of smoke rising from Abqaiq, Saudi Arabia's largest crude oil processing plant https:// nyti.ms/2AjH4EY",-0.5719
145,2019-09-09 10:10,35,45,Crude oil on the rise today after Saudi Arabia signals OPEC supply cuts will continue under new Energy Minister Prince Abdulaziz bin Salman pic.twitter.com/1xqAGyrk6O,-0.5859
169,2019-09-11 18:20,15,28,"Crude oil prices hover around $60 per barrel, but analysts say Saudi Arabia — the world's largest oil exporter — needs it to be at least $80 a barrel in order to balance the budget and prop up the crown prince's vision to diversify the kingdom's economy. https:// n.pr/34E6hrF",0.0387
221,2019-09-06 20:16,10,20,Crude Oil prices will jump to $120 - Make Saudi Arabia great again https:// twitter.com/ewarren/status /1170070887887986690 …,0.1027
222,2019-09-05 09:33,7,20,"SAUDI ARABIA SETS OCT ARAB LIGHT CRUDE OIL OFFICIAL SELLING PRICE TO ASIA AT PLUS $2.30 VERSUS OMAN/DUBAI AVERAGE, UP 60 CENTS A BARREL FROM SEPT - ARAMCO SAUDI ARABIA SETS SEPT LIGHT CRUDE OIL OSP TO UNITED STATES AT PLUS $2.95 A BARREL VERSUS ASCI, UP $0.10 FROM SEPT - ARAMCO",-0.7456
228,2019-09-01 00:04,60,104,#السعودية إنتاج النفط الخام في السعودية منذ اكتشافه وحتى الآن. #النفط Saudi crude oil production since discovery #oil #SaudiArabia pic.twitter.com/cjEbIVKAkS,-0.5719
230,2019-08-21 10:18,19,43,Crude Oil getting a boost this morning from a larger-than-expected drawdown in U.S. stockpiles and lower Saudi Arabian exports pic.twitter.com/RDkruiQ7NL,-0.4939
234,2019-08-19 01:06,6,15,"Crude oil prices climb after Saudi oilfield attack, but recession worries drag. https://www. timesnownews.com/business-econo my/world-news/article/crude-oil-prices-climb-after-saudi-oilfield-attack-but-recession-worries-drag/471312 …",-0.9209
236,2019-08-15 19:01,3,23,"Crude supplies of 500,000 b/d represents about 40% of Reliance's crude intake...although Saudi Aramco historically supplied 20% of Reliance's crude oil requirements."" FY2018-19 Saudi exported 40.33 million tons of crude to India, second to the 46.61 million tons sold by Iraq.""",-0.9413
237,2019-08-15 19:01,20,63,"Saudi Aramco buying 20 per cent stake in [Reliance's] oil-to-chemical (O2C) business...has an enterprise valuation of $75 billion as it will be accompanied with a deal to supply 500,000 barrels per day or 25 million tons a year of crude oil [to India]."" https:// timesofindia.indiatimes.com/business/india -business/saudi-arabia-to-regain-indias-top-oil-supplier-spot-after-reliance-deal/articleshow/70687727.cms …""",-0.5719
239,2019-08-13 11:27,9,30,"Trump is quicker on whatever it takes"" for the S&P500 than Saudi Arabia for the price of crude oil .""",-0.5719
257,2019-09-09 01:49,5,13,Brent + WTI net long positions unchanged week ending August 30. Long positions rose +4 mmb vs -1 previous week but shorts increased +4 vs -15. All of net long increase (+18 mmb) was Brent & all decrease (-18 mmb) was WTI. #OOTT #oilandgas #oil #WTI #CrudeOil #fintwit #OPEC pic.twitter.com/h69T7xxumb,0.6808
316,2019-09-09 01:49,5,13,Brent + WTI net long positions unchanged week ending August 30. Long positions rose +4 mmb vs -1 previous week but shorts increased +4 vs -15. All of net long increase (+18 mmb) was Brent & all decrease (-18 mmb) was WTI. #OOTT #oilandgas #oil #WTI #CrudeOil #fintwit #OPEC pic.twitter.com/h69T7xxumb,0.6808
317,2019-09-06 08:18,11,15,"Oil steadies, set for weekly gain amid hopes for end to US-China trade war -- Brent heading for a fourth weekly gain at $60.92 -- WTI on track for a second weekly increase at $56.20",0.7906
319,2019-09-01 08:39,12,27,#WTI crude #oil was sold following the Chinese tariff on US oil import announcement with longs being cut while fresh shorts were added. #Brent longs meanwhile saw a small 2% increase with both long and short sellers increasing their exposure #OOTT pic.twitter.com/QSffwv6dvl,-0.296
332,2019-09-15 03:09,9,16,This #oil price poll from @anasalhajji says it all. We simply don't know. Specs added the most length ( Brent +WTI) in more than a year last Tuesday on ABS hopes. Only to be reduced ahead of the weekend following IEA's supply glut comments. #OOTT https:// twitter.com/anasalhajji/st atus/1173020656914587649 …,0.4215
334,2019-09-14 12:07,11,22,"U.S. Gross Oil Total Imports and Exports of Crude Oil The U.S. has surpassed Russia and Saudi Arabia, and is the world's biggest oil producer https://www. isabelnet.com/?s=oil h/t @PictetWM #oilprice #wti #crudeoil #oilandgas #brent #OPEC #oott #Russia #SaudiArabia pic.twitter.com/PFHJ1E1GR1",-0.7783
338,2019-09-12 10:46,11,25,OECD minus U.S. comparative inventory is more negative now than in Sept 2018 but Brent price is -$21.99 (27%) lower. This is a measure of how much markets have devalued oil price in the last year. #OOTT #oilandgas #oil #WTI #CrudeOil #fintwit #OPEC pic.twitter.com/qr58nSUfc0,-0.6482
342,2019-08-31 11:52,0,11,I am bc crude is undervalued rel to S&D. US/Eur crude stocks under last yr adj for reqd infrastructure stks yet $15 lower Brent price. Just worried about paper supply bc poor macro outlook. But always worried. #OOTT #OPEC #oilprice https:// twitter.com/yirentianxia/s tatus/1167810797881483264 …,-0.8674
374,2019-09-09 01:49,5,13,Brent + WTI net long positions unchanged week ending August 30. Long positions rose +4 mmb vs -1 previous week but shorts increased +4 vs -15. All of net long increase (+18 mmb) was Brent & all decrease (-18 mmb) was WTI. #OOTT #oilandgas #oil #WTI #CrudeOil #fintwit #OPEC pic.twitter.com/h69T7xxumb,0.6808
376,2019-09-05 13:00,15,28,- EIA crude oil inventories are at 2015 level now. The lowest level since October 2018. The decrease from the peak in 2019 is about 62 mb Crude: -4.771 mb Gasoline: -2.396 mb Distillate: -2.538 mb Now check this old tweet: we are at 423 mb https:// twitter.com/anasalhajji/st atus/1148785695298899968 … pic.twitter.com/4jUroO48gB,-0.875
377,2019-09-05 01:08,0,11,"#CrudeOil inventories in the United States rose by 401,000 barrels in the week ended Aug. 30 to 429.1 million, compared with analysts’ expectations for a decrease of 2.5 million barrels. @EIAgov @APIenergy",0.4215
379,2019-08-28 11:44,4,31,This large decrease in inventories happened despite a decline in crude oil inputs to refineries by more than 2 mb. Most of the decline was caused by major decline in imports and large increase in consumption ( first week of school in many states),0.6483
406,2019-09-14 12:31,10,13,"“The production shutdown amounts to a loss of about five million barrels a day, the people said, roughly 5% of the world’s daily production of crude oil . The kingdom produces 9.8 million barrels a day.” Can an increase in oil prices compensate for this loss ? @summer_said https:// twitter.com/jmalsin/status /1172880234498187269 …",-0.7184
412,2019-09-09 01:49,5,13,Brent + WTI net long positions unchanged week ending August 30. Long positions rose +4 mmb vs -1 previous week but shorts increased +4 vs -15. All of net long increase (+18 mmb) was Brent & all decrease (-18 mmb) was WTI. #OOTT #oilandgas #oil #WTI #CrudeOil #fintwit #OPEC pic.twitter.com/h69T7xxumb,0.6808
415,2019-09-01 08:39,12,27,#WTI crude #oil was sold following the Chinese tariff on US oil import announcement with longs being cut while fresh shorts were added. #Brent longs meanwhile saw a small 2% increase with both long and short sellers increasing their exposure #OOTT pic.twitter.com/QSffwv6dvl,-0.296
418,2019-08-28 11:44,4,31,This large decrease in inventories happened despite a decline in crude oil inputs to refineries by more than 2 mb. Most of the decline was caused by major decline in imports and large increase in consumption ( first week of school in many states),0.6483
423,2019-08-16 05:16,4,25,"Nigeria In Weaker Position To Defend Self Against Economic Shock - @MoodysInvSvc 's | Sahara Reporters The agency added that the falling prices of raw materials like crude oil , and weak investor confidence will increase the cost of borrowing... READ MORE: http:// bit.ly/2YPAcOg pic.twitter.com/DXcCADLjGw",-0.6808
430,2019-09-12 01:06,0,17,"Positive investor sentiment buoyed by higher international crude oil prices, progress on the FATF front, increase in urea prices and constitution of a stockbroker committee pushed the benchmark index upwards. https:// tribune.com.pk/story/2054170/ 2-market-watch-kse-100-rises-expectations-fatf-meeting/ …",0.6124
458,2019-09-16 02:20,45,31,"Brent #oil up almost 10%, after rising as much as 20%, after #SaudiArabia oil installation attack. pic.twitter.com/9soWZH5jlZ",-0.4767
460,2019-09-16 02:02,16,18,"This is going to hurt at the Petrol Pumps, soon...  #Brent crude surged the most on record after a drone strike on a Saudi Arabian oil facility removed about 5% of global supplies"" (Bloomberg) Spiked as high as $72...Analysts say we can see highs of up to $100. pic.twitter.com/aQROGZGdip""",-0.8225
462,2019-09-15 20:00,21,22,* Oil Extends Gains After Trump Warns U.S. 'Locked and Loaded* *WTI Up 12% at $61.20 a Barrel * Brent Up 14% at $68.36 a Barrel,0.3612
463,2019-09-15 19:27,70,77,Brent crude oil up more than 17% after #SaudiArabia oil field attack https:// twitter.com/CNBCnow/status /1173357170697617408 …,-0.7783
464,2019-09-15 19:08,243,370,Brent crude oil prices up more than $10 a barrel - about a fifth - after markets opening for first time since drone attack knocked out vast swathe of Saudi refining capacity... that is an extraordinary jump.,-0.7783
465,2019-09-15 19:04,1025,1299,BREAKING: Brent crude up $10.94 (or 18%) to $71.16 a barrel as market opens in the wake of the Saudi attacks #OOTT #SaudiArabia #oil,-0.765
466,2019-09-15 19:02,278,221,"Wow. Brent crude oil showing up almost 20% on open. From $60 to $71 a barrel in blink of an eye, following the attacks in Saudi Arabia this weekend #OOTT pic.twitter.com/as2rqFqwbC",-0.4215
473,2019-09-16 10:01,25,32,"The world oil benchmark price is Brent . Up 10.70% today - biggest one day rise since Jan 2009, and 10 biggest days in its 33-year history. • 3 dates in Aug 1990 - Jan 1991 was the Gulf War • 3 dates in 1998 was spiking volatility at the all-time lows (small absolute moves) pic.twitter.com/IOH0b2Qf6K",-0.6908
478,2019-09-16 02:37,60,91,"Global markets start the week on a slippery note as #oil jumps after Saudi facility attacks. Most of Asia and US stock futures fell while Gold & Yen, which are often considered haven assets during times of turmoil, edged up . Brent trades 10.7% higher. Gold >$1.5k, Bitcoin $10.3k. pic.twitter.com/XyRjlKsnVp",-0.5719
487,2019-09-16 15:45,25,38,"As I predicted the other night, Brent crude prices climbed 20% before giving up some gains as the market took note of emergency reserves held globally. Who benefits? SA & RU. https://www. wsj.com/articles/oil-s tockpiles-cap-price-surge-after-saudi-attack-11568635889 …",0.0258
488,2019-09-16 14:43,87,99,#Brent #oil now 15% up after #SaudiAramco states it could take weeks of even months before all output is restored. #SaudiArabia pic.twitter.com/4V8AwPTt9k,0.34
499,2019-09-12 03:26,7,47,"#ukog Kimmeridge test production reached a total of 36,559 barrels (bbl"") of dry Brent quality crude at a final metered rate of 313 bbl of oil per day (""bopd"") over the final 48 hour test period. Peak instantaneous rates of up to 374 bopd were recorded. Total to date 66,127 bbl pic.twitter.com/AMkBJCAwKv""",-0.5106
506,2019-09-04 01:56,0,16,"#Oil prices recovered some ground on Wednesday after touching their lowest in close to a month during the previous session on concerns that a weakening global economy could depress demand. #Brent crude was up 0.21%, at $58.38 a barrel by 0425 GMT. #Crude",-0.9062
507,2019-08-27 16:02,26,48,"Hey @jkenney Oil investment going up , right? Oil prices going up right? We're going to boom again, right? We see Brent in the low $50s, and WTI in the high $40s, which is not an environment where there’s going to be much as much reinvestment"" https://www. cnbc.com/2019/08/27/the -us-is-about-to-send-a-lot-more-oil-into-an-oversupplied-market.html …""",-0.3899
509,2019-08-22 12:08,14,12,"#Shandong spot crude oil differentials to Ice Brent have leapt higher in response to tightening supply of medium sweet crude, 22 August | #ArgusOil #OOTT Catch up with our webinar: Illuminating the Shandong crude market, on demand: https:// okt.to/KYrxI9 | #ArgusOil #OOTT pic.twitter.com/fsDROHrOGp",-0.8625
525,2019-09-03 11:07,18,46,Commodities down in price : Aluminum (5); Aluminum Products (2); Caustic Soda; Corrugated Boxes (3); Natural Gas; Crude Oil ; Pulp; Steel (2); Steel— Hot Rolled; Steel Products* (8) Steel—Stainless.,-0.296
529,2019-08-31 01:08,0,22,"Venezuela was entire depending on its oil wealth. Once crude oil price came down its revenue went down drastically, hence inflation",-0.128
538,2019-08-14 10:34,8,29,The crude #oil market has been left clueless as the price pump and dumps in response to shifting headlines. No doubt that demand is slowing but so is production. Opec production down 3.3m b/d since Nov while US production seems to have hit a plateau around 12.3m b/d #OOTT pic.twitter.com/hlQEeIXnKO,-0.7615
550,2019-09-17 07:27,1,11,"About 4-5 years back, Indian asset managers were praying for crude prices to rise. Oil and gas sector was driving the whole market down ...or such was the sentiment. Today, rise in the same crude oil price got the Sensex crashing down . ... and you thought markets are easy?",-0.128
552,2019-09-17 01:24,26,29,"Crude Oil price is already coming back down from not much of a rally on supply disruption. With Energy at only 4% of PCE, it’s hard to see how this event tips the US into a recession. https:// twitter.com/dwyerstrategy/ status/1173564237697945600 …",-0.8074
568,2019-09-16 10:34,8,14,"Older studies found that 80% of a change in Brent crude oil price is passed through"" to retail gasoline prices within 2-weeks. They also confirm asymmetric price movements = prices ""rocket"" up and come down like ""feathers""""",-0.296
621,2019-09-20 10:01,21,22,Crude oil ticking higher in the premarket as it looks to close out a big week of gains pic.twitter.com/xBcmoDKtCf,-0.3182
624,2019-09-18 10:07,2,14,Refinery. Oil refining themed strategy game. Players collect the crude oil of different quality and deploy them among four surrounding factories for refinery and storage. Exporting the oils for benefits and constructing buildings to gain scores and additional abilities. pic.twitter.com/HMQMhfCvuz,0.5106
637,2019-09-19 11:11,109,341,General @MBuhari is going to increase the price of fuel soon. Whatever gains they are making from the increased price of crude oil in the wake of the Saudi drone attack is lost due to the increased cost of imported fuel. And what will Nigerians do? NOTHING!!! #CowardNigeria,-0.4724
660,2019-09-09 16:09,3,45,"NOW. Crude oil up over 2.5%. This is pushing up gains in the entire energy sector, and financial sector as well.. both over 1.75% each respectively.",0.296
672,2019-08-26 15:53,1,12,"Oil prices go up, alternative fuels gain interest. Oil prices go down, alternative fuel ideas go back on the shelf.... #Crudeoil #OOTT pic.twitter.com/xyzroZsB0B",0.7506
674,2019-08-18 23:23,1,11,"Crude oil prices rose on Monday following a weekend attack on a Saudi oil facility by Yemeni separatists, although price gains were capped by an unusually downbeat OPEC report that stoked concerns about demand growth. Brent crude was up 0.8%, at $59.09/bbl at 0035 GMT. #Brent",-0.7906
676,2019-08-14 22:56,20,25,-Asian equities declined over 1% after S&P 500 tumbles nearly 3% -Treasuries extended gains after 10-year rate slid below the two-year -Bonds climbed in Australia and New Zealand - Crude oil extended losses and gold edged higher The latest in markets http:// bloom.bg/31AVvju,-0.4767
678,2019-08-14 00:50,2,12,"Oil prices fell on Wednesday after industry data showed U.S. crude inventories unexpectedly rose last week, erasing some gains from the last session that were stoked after Washington said it would delay tariffs on some Chinese goods. #commodities #CrudeOil",-0.5574
681,2019-09-15 07:45,33,42,"Oil set to jump after Saudi attack Fed set to cut rates again Central bank ‘Super Thursday’ Trade hopes Economic data, earnings https://www. investing.com/news/economy/e conomic-calendar--top-5-things-to-watch-this-week-1978166 …",-0.34
683,2019-09-12 05:05,13,35,"T. Boone Pickens, a celebrated corporate raider and energy industry magnate who built an empire out of an initial $2,500 investment, died on Wednesday at age 91. Here's a couple of his quotes that we enjoyed so we thought we'd share them with you. RIP. #TBoonePickens #Oil #OOTT pic.twitter.com/s0cG0ZcaIp",0.7717
685,2019-09-09 08:46,9,19,"#AnotherDayAnotherShekel Our Senior Analyst @JesseCohenInv gives us his 5 things to watch in the markets this Monday, including: - #Futures Edge Higher - China Exports Slump - Stimulus Hopes - New Saudi Oil Minister - #Brexit Headlines $ DIA $ SPY $ SPX $ ES_F $ QQQ $ NQ_F $ IWM $ VIX pic.twitter.com/mTrOTOUkDU",0.4215
688,2019-08-31 12:06,10,13,"Right now, discouraging economic data and negative indicators seem to be coming from everywhere. However, amidst all of this depressing news, the U.S. oil market is a bright spot. Here's why: https:// invst.ly/by1q5 #OOTT @EnergzdEconomy #Oil pic.twitter.com/BQpSXzuNch",-0.7717
690,2019-08-27 08:03,6,16,U.S. futures point lower U.S. consumer confidence expected to drop Oil rises as Iran backs away from talks For more news and to see and click the link below... https://www. investing.com/news/economy/t op-5-things-to-know-in-the-market-on-tuesday-1964081 …,-0.0516
