,date,text,VADER score
89,2019-09-12 09:31:00,"#ukog Kimmeridge test production reached a total of 36,559 barrels (bbl"") of dry Brent quality crude at a final metered rate of 313 bbl of oil per day (""bopd"") over the final 48 hour test period. Peak instantaneous rates of up to 374 bopd were recorded. Total to date 66,127 bbl pic.twitter.com/AMkBJCAwKv""",-0.5106
90,2019-09-04 09:31:00,"#Oil prices recovered some ground on Wednesday after touching their lowest in close to a month during the previous session on concerns that a weakening global economy could depress demand. #Brent crude was up 0.21%, at $58.38 a barrel by 0425 GMT. #Crude",-0.9062
94,2019-08-31 09:31:00,"Venezuela was entire depending on its oil wealth. Once crude oil price came down its revenue went down drastically, hence inflation",-0.128
96,2019-09-17 09:31:00,"About 4-5 years back, Indian asset managers were praying for crude prices to rise. Oil and gas sector was driving the whole market down ...or such was the sentiment. Today, rise in the same crude oil price got the Sensex crashing down . ... and you thought markets are easy?",-0.128
97,2019-09-17 09:31:00,"Crude Oil price is already coming back down from not much of a rally on supply disruption. With Energy at only 4% of PCE, it’s hard to see how this event tips the US into a recession. https:// twitter.com/dwyerstrategy/ status/1173564237697945600 …",-0.8074
106,2019-08-14 09:31:00,"Oil prices fell on Wednesday after industry data showed U.S. crude inventories unexpectedly rose last week, erasing some gains from the last session that were stoked after Washington said it would delay tariffs on some Chinese goods. #commodities #CrudeOil",-0.5574
107,2019-09-15 09:31:00,"Oil set to jump after Saudi attack Fed set to cut rates again Central bank ‘Super Thursday’ Trade hopes Economic data, earnings https://www. investing.com/news/economy/e conomic-calendar--top-5-things-to-watch-this-week-1978166 …",-0.34
108,2019-09-12 09:31:00,"T. Boone Pickens, a celebrated corporate raider and energy industry magnate who built an empire out of an initial $2,500 investment, died on Wednesday at age 91. Here's a couple of his quotes that we enjoyed so we thought we'd share them with you. RIP. #TBoonePickens #Oil #OOTT pic.twitter.com/s0cG0ZcaIp",0.7717
109,2019-09-09 09:31:00,"#AnotherDayAnotherShekel Our Senior Analyst @JesseCohenInv gives us his 5 things to watch in the markets this Monday, including: - #Futures Edge Higher - China Exports Slump - Stimulus Hopes - New Saudi Oil Minister - #Brexit Headlines $ DIA $ SPY $ SPX $ ES_F $ QQQ $ NQ_F $ IWM $ VIX pic.twitter.com/mTrOTOUkDU",0.4215
111,2019-08-27 09:31:00,U.S. futures point lower U.S. consumer confidence expected to drop Oil rises as Iran backs away from talks For more news and to see and click the link below... https://www. investing.com/news/economy/t op-5-things-to-know-in-the-market-on-tuesday-1964081 …,-0.0516
112,2019-08-19 09:31:00,U.S.-China trade talks ‘positive’ Apple talk to Trump over tariffs Oil rises after attack on Saudi oilfield For more news and to see and click the link below... https://www. investing.com/news/forex-new s/top-5-things-to-know-in-the-market-on-monday-1958041 …,-0.4767
113,2019-08-14 09:31:00,Recession fears weighing on market sentiment Oil drops on unexpected inventory build Bonds yields point to recession For more news and to see and click the link below... https://www. investing.com/news/economy/t op-5-things-to-know-in-the-market-on-wednesday-1954601 …,-0.8126
114,2019-09-22 09:31:00,"SO THE BIGGEST AFRICAN EXPORT AFTER CRUDE OIL ,DAVIDO IS GOING TO HAVE A SCENE IN #ComingToAmerica2 ...what else do you want to say again DAVIDO HAS GONE TO FAR ,THEY BETTER CATCH UP oh..get ready for A GOOD TIME ALBUM",0.6841
119,2019-09-23 09:31:00,"When Petrol prices go up people should not use their private Cars then demand will go down...if people have no problem spending, it will go on rising.. When demand is low India will stop importing at the high crude oil pricing..In India for 1.3 Crore people we have 3 crore cars",-0.9169
120,2019-09-16 09:31:00,Markets today after #NirmalaSitharaman announced mega stimulus packages over the weekend: BSE Sensex crashes 270 points #Nifty down by over 80 points INR vs US Dollar at Rs.71.44 With crude oil prices shooting up by nearly 9% picture abhi baki hai! #HowdyModi ? pic.twitter.com/fEdTuBqMm9,-0.6114
122,2019-08-27 09:31:00,"Building our own oil refinery would cost us about Ksh 4 billion. Then we would be able to process our own crude oil without exporting. The BBI will consume twice the amount it requires to set up the refinery. The dams, NYS, etc had bigger budgets. We are actually able to develop.",-0.5719
125,2019-09-16 09:31:00,"Crude oil prices have gone up , Nigeria will make more money; but the Government will not tell us",-0.3291
127,2019-09-17 09:31:00,"One day, Reno Omokri who was among the media aid of President Jonathan said OBJ left reserve at $67B, unknown to him he was indicting his boss who left Nigeria reserve DEPLETED to $28B before leaving in 2015 despite selling crude oil HIGH . As at today Reserve is UP , around $45B. pic.twitter.com/0jl6HNinLH",0.4585
131,2019-09-15 09:31:00,"Saudi Arabia will...maintain export levels...by supplying customers from stockpiles. Neighboring countries...will now pump as much as they can to make up for any losses from KSA."" --Julian Lee, Bloomberg https://www. bloomberg.com/news/articles/ 2019-09-14/attack-on-saudi-oil-plant-is-what-everyone-feared-oil-strategy … #OOTT #oilandgas #oil #WTI #CrudeOil #fintwit #OPEC""",-0.4019
132,2019-09-14 09:31:00,"Due to the insurance premiums being up for tankers picking up oil in the Middle East, there are fewer crude oil vessels on average, but they are larger instead. Though Saudi can ship out of storage, there may likely be a delay in case of extensive infrastructure damage. We’ll see",-0.8625
134,2019-09-10 09:31:00,Russia is set to lose the top spot as China's main #crudeoil supplier in the coming years to Saudi Arabia as it falls behind in ramping up its Far East exports. Our team reports from #PlattsAPPEC : http:// plts.co/FBly30pvCUP pic.twitter.com/reVdmjNd4A,-0.2263
135,2019-09-06 09:31:00,"Spain imported around 30,000 b/d of #Venezuela 's crude oil last month, up from 20,000 b/d in July, according to @ArgusMedia estimates. A further pair of cargoes from Venezuela are signalling arrival at Bilbao | #ArgusOil #OOTT For this and related news: https:// okt.to/Wcw8D0 pic.twitter.com/GuO4nm1daX",-0.5719
136,2019-09-05 09:31:00,"Crazy: North Sea #oil rigs proposed to be abandoned full of crude oil and #chemicals . The UK government, as @doug_parr says should not grant grubby favours and shortcuts to prop up a dying oil and gas industry."" But rather #ProtectTheOceans https://www. independent.co.uk/environment/no rth-sea-oil-rigs-abandoned-shell-environment-climate-pollution-greenpeace-a9091651.html … #OSPAR""",-0.7408
138,2019-09-02 09:31:00,Indian economy remained largely stable due to the strong governance and policies of Dr. Manmohan Singh: We grew at 7.16% in 2008-09 & at 8.99% in 2009-10. When the crude oil prices shot up internationally it was the UPA government that kept them stable. #EconomyKhatreMeinHai,0.4588
142,2019-08-21 09:31:00,#UKOG #HORSEHILL Tanker just in to fill up with light sweet Kimmeridge crude oil . Then off to the refinary. Viva! pic.twitter.com/V5QjcEif3f,-0.2481
147,2019-08-16 09:31:00,#ukog #Horsehill A Tanker in this morning to fill up with crude oil . Pic by Jo. pic.twitter.com/lJM7XXdym4,-0.5719
7,2019-09-16 09:31:00,Hi Energy Twitter: today’s lesson is on the gas oil separation plant (GOSP). (Thread) All Saudi crude oil production goes from the well head (oil production well) through a gathering system and is then processed in the GOSP. Learn this acronym. It’s going to be important,0.0772
31,2019-09-16 09:31:00,Crude oil prices are expected to surge when Asian markets re-open Sunday night (U.S. time) as traders respond to Saturday's attacks against major oil processing and production sites in Saudi Arabia. https://www. axios.com/oil-prices-sau di-arabia-drone-strikes-aramco-22a2cda6-9312-4a56-bd1d-9cf519150b3a.html?utm_source=twitter&utm_medium=social&utm_campaign=organic …,-0.765
34,2019-09-16 09:31:00,FX of biggest crude oil importers could start the week sharply lower if oil heads north towards $100/bbl due to drone attacks on Saudi oil plants. Indian rupee $ INR & Turkish lira $ TRY most fragile given big current account deficits. Also another headache for PBoC managing $ CNY pic.twitter.com/XjH11jTgOp,-0.8316
40,2019-09-16 09:31:00,"World's #crudeoil supply under threat after attacks at #Saudi #oil facilities. Here's our #factbox on #oilprices , #infrastructure & #tradeflows : http:// plts.co/CXb850wagkl #OOTT #energy #SaudiAramco pic.twitter.com/MDHxG4aByO",-0.743
41,2019-09-16 09:31:00,"Saudi Aramco tells CNBC-TV18, attacks resulted in production suspension of 5.7 million barrels of crude oil per day. Work is underway to restore production and a progress update will be provided in around 48 hours pic.twitter.com/uARYs1HJQq",-0.3818
54,2019-09-02 09:31:00,#السعودية إنتاج النفط الخام في السعودية منذ اكتشافه وحتى الآن. #النفط Saudi crude oil production since discovery #oil #SaudiArabia pic.twitter.com/cjEbIVKAkS,-0.5719
63,2019-09-02 09:31:00,#WTI crude #oil was sold following the Chinese tariff on US oil import announcement with longs being cut while fresh shorts were added. #Brent longs meanwhile saw a small 2% increase with both long and short sellers increasing their exposure #OOTT pic.twitter.com/QSffwv6dvl,-0.29600000000000004
64,2019-09-16 09:31:00,This #oil price poll from @anasalhajji says it all. We simply don't know. Specs added the most length ( Brent +WTI) in more than a year last Tuesday on ABS hopes. Only to be reduced ahead of the weekend following IEA's supply glut comments. #OOTT https:// twitter.com/anasalhajji/st atus/1173020656914587649 …,0.4215
74,2019-09-02 09:31:00,#WTI crude #oil was sold following the Chinese tariff on US oil import announcement with longs being cut while fresh shorts were added. #Brent longs meanwhile saw a small 2% increase with both long and short sellers increasing their exposure #OOTT pic.twitter.com/QSffwv6dvl,-0.29600000000000004
107,2019-09-16 09:31:00,"Oil set to jump after Saudi attack Fed set to cut rates again Central bank ‘Super Thursday’ Trade hopes Economic data, earnings https://www. investing.com/news/economy/e conomic-calendar--top-5-things-to-watch-this-week-1978166 …",-0.34
114,2019-09-23 09:31:00,"SO THE BIGGEST AFRICAN EXPORT AFTER CRUDE OIL ,DAVIDO IS GOING TO HAVE A SCENE IN #ComingToAmerica2 ...what else do you want to say again DAVIDO HAS GONE TO FAR ,THEY BETTER CATCH UP oh..get ready for A GOOD TIME ALBUM",0.6841
131,2019-09-16 09:31:00,"Saudi Arabia will...maintain export levels...by supplying customers from stockpiles. Neighboring countries...will now pump as much as they can to make up for any losses from KSA."" --Julian Lee, Bloomberg https://www. bloomberg.com/news/articles/ 2019-09-14/attack-on-saudi-oil-plant-is-what-everyone-feared-oil-strategy … #OOTT #oilandgas #oil #WTI #CrudeOil #fintwit #OPEC""",-0.4019
11,2019-09-16 09:31:00,"Saudi ’s world largest crude oil facility on fire, hit by drones https:// reubenabati.com.ng/index.php/comp onent/k2/item/8610-saudi-s-world-largest-crude-oil-facility-on-fire-hit-by-drones … pic.twitter.com/Yv4w836x3c",-0.7269
32,2019-09-16 09:31:00,"Drone attacks on Saudi 's Aramco Abqaiq oil processing facility, causing massive explosions. This is the largest the largest crude oil stabilisation plant in the world.There is no information about human casualties https://www. bbc.com/news/world-mid dle-east-49699429 …",-0.8316
43,2019-09-16 09:31:00,2-Will the attacks lead to lower crude oil exports? We do not know at this stage. Will they lower production? We do not know either. What do we know? Majority of Saudi oil exports goes through Abqaiq facilities. pic.twitter.com/dQ1iGELOrw,-0.8895
46,2019-09-16 09:31:00,Saudi Aramco fire: Drones attack world's largest oil processing factory in Saudi https://www. livemint.com/news/world/sau di-aramco-fire-explosion-at-largest-crude-oil-stabilization-plant-says-report-1568432885559.html …,-0.6705
47,2019-09-16 09:31:00,Fire at Saudi Aramco's largest crude oil stabilization plant https://www. livemint.com/news/world/sau di-aramco-fire-explosion-at-largest-crude-oil-stabilization-plant-says-report-1568432885559.html …,-0.7269
94,2019-09-02 09:31:00,"Venezuela was entire depending on its oil wealth. Once crude oil price came down its revenue went down drastically, hence inflation",-0.128
132,2019-09-16 09:31:00,"Due to the insurance premiums being up for tankers picking up oil in the Middle East, there are fewer crude oil vessels on average, but they are larger instead. Though Saudi can ship out of storage, there may likely be a delay in case of extensive infrastructure damage. We’ll see",-0.8625
0,2019-09-16 14:10:00,"An extended Saudi oil outage could push Brent crude prices north of $75 per barrel as the historic attack on the country’s processing plant disrupts one of the globe’s largest energy supply chains, Goldman Sachs warned clients. https:// cnb.cx/2Apu4hf",-0.7783
1,2019-09-16 10:09:00,Check out crude oil ’s biggest spike in history following an attack on a major Saudi oil processing facility pic.twitter.com/8YagRspmAs,-0.7783
2,2019-09-16 09:08:00,Goldman Sachs says an extended Saudi outage could push Brent crude oil prices above $75 https:// cnb.cx/2AllZdl,-0.5719
3,2019-09-16 09:04:00,Drone attack in Saudi has highly impacted crude oil prices. Its impact on petrol & diesel prices is going to be the biggest news in the coming week Keep an eye on it.,-0.7951
4,2019-09-16 03:36:00,The world cannot do without Saudi Arabian or Iranian crude oil . However this may open the door to the world largest oil nation and newest exporter of crude oil ..the USA to offer US crude as a reliable alternative. OPEC risks being irrelevant as a swing producer pic.twitter.com/AC5QcXL7Ht,-0.9217
5,2019-09-16 01:47:00,"Saudi oil facilities attack leads to 20% one day jump in crude oil prices! This is big news. Could be a big blow to our economy. Again, major steps needed to bring Indian economy on track. Tinkering around with a scheme here and there and council meetings will do little.",-0.7959
7,2019-09-15 09:25:00,Hi Energy Twitter: today’s lesson is on the gas oil separation plant (GOSP). (Thread) All Saudi crude oil production goes from the well head (oil production well) through a gathering system and is then processed in the GOSP. Learn this acronym. It’s going to be important,0.0772
10,2019-09-14 15:49:00,Just a quick note of comfort to eastern Canadians (esp PQ) who might run short of crude oil with the Saudi Arabian drone based terrorist attacks. We in the West have your back. Once we get a pipeline built. Let us know when you need it... #Bill69 will slow it down...,-0.8689
11,2019-09-14 09:20:00,"Saudi ’s world largest crude oil facility on fire, hit by drones https:// reubenabati.com.ng/index.php/comp onent/k2/item/8610-saudi-s-world-largest-crude-oil-facility-on-fire-hit-by-drones … pic.twitter.com/Yv4w836x3c",-0.7269
12,2019-09-16 10:14:00,"Brent crude oil spikes the most in history after Saudi attacks, last up 10%. https:// cnb.cx/30pg81c pic.twitter.com/uPKcs7KyUt",-0.765
13,2019-09-16 09:34:00,SAUDI ARABIA SHUTS DOWN CRUDE OIL PIPELINE TO BAHRAIN AFTER ATTACKS ON SAUDI OIL FACILITIES - TRADE SOURCES #OOTT,-0.765
14,2019-09-16 08:09:00,"Oil +19% after a drone attack on the Saudi oil facility. This is the biggest intraday jump, however, some say that it's just a beginning. Stay in focus.",-0.4767
18,2019-09-15 11:06:00,EXCLUSIVE: Saudi Arabia is close to restoring as much as 40% of the nearly 6 million barrels per day of crude oil production capacity knocked out by aerial attacks on Saturday http://www. energyintel.com/pages/eig_arti cle.aspx?DocID=1048097&utm_campaign=top-story&utm_medium=site&utm_source=1&utm_content=Saudi+Starts+Restoring+Some+Output+After+Attacks-1048097&ts=1 … #aramco #OOTT,-0.4883
19,2019-09-14 12:23:00,"This Houthi attack was the largest and most effective on the Saudi regime, which is starving MILLIONS of Yemeni civilians. The production shutdown amounts to a loss of 5 million barrels a day, roughly 5% of the whole world’s daily production of crude oil . https://www. wsj.com/articles/drone -strikes-spark-fires-at-saudi-oil-facilities-11568443375 …",-0.818
20,2019-09-16 13:41:00,OIL PRICES: The loss of 5% of world crude oil output from an attack on Saudi Arabia's largest oil processing plant pushed crude prices sharply higher on Monday. https:// abcn.ws/30nREoY,-0.9153
21,2019-09-16 12:00:00,"Saudi Arabia shuts down its crude oil pipeline to Bahrain after Saturday’s attack reduces output, according to trade sources. https:// english.alarabiya.net/en/business/en ergy/2019/09/16/Saudi-Arabia-shuts-pipeline-to-Bahrain-after-oil-outage-Trade-sources.html …",-0.7783
22,2019-09-16 09:35:00,Saudi Arabia has shutdown its crude oil pipeline to Bahrain following Saudi oil attack - according to sources,-0.7783
25,2019-09-15 12:30:00,"From Our Petroleum Economist, Karr Ingham: “Crude #oil production facilities in Saudi are likely going to rattle markets in the near term. Saudi production may drop by over 5 mil barrels per day until that production can be brought back online. “ http:// bit.ly/307zT2h",-0.2732
26,2019-09-16 09:00:00,#Explained | Saudi #Aramco Attacks: How will the #oil cut impact the world? The recent drone attacks on two Saudi oil facilities have affected the production of 5.7 million barrels of crude oil per day. How has the world supply been affected? pic.twitter.com/RUBw5AImIo,-0.9211
27,2019-09-16 02:44:00,The weekend attack on the world's largest crude oil processing plant in Saudi Arabia that cut global oil supplies underscores how Aramco's stability is directly linked to its owners — the Saudi government and ruling family. By @ayaelb http:// apne.ws/JrkLbK2,-0.836
28,2019-09-16 00:12:00,"I might be wrong, but if we get our crude oil from Norway and the North Sea platforms, why are UK motorists going to be hit with fuel price rises at the pumps following the drone strike on Saudi oil facilities.",-0.8338
31,2019-09-15 09:22:00,Crude oil prices are expected to surge when Asian markets re-open Sunday night (U.S. time) as traders respond to Saturday's attacks against major oil processing and production sites in Saudi Arabia. https://www. axios.com/oil-prices-sau di-arabia-drone-strikes-aramco-22a2cda6-9312-4a56-bd1d-9cf519150b3a.html?utm_source=twitter&utm_medium=social&utm_campaign=organic …,-0.765
32,2019-09-14 07:28:00,"Drone attacks on Saudi 's Aramco Abqaiq oil processing facility, causing massive explosions. This is the largest the largest crude oil stabilisation plant in the world.There is no information about human casualties https://www. bbc.com/news/world-mid dle-east-49699429 …",-0.8316
33,2019-09-16 00:20:00,#OilPrices Jump The Highest Ever! Brent Crude Oil Soars 12% After Drone Attack Cuts Saudi Arabian Supplies https://www. abplive.in/business/oil-p rices-jump-the-highest-ever-brent-crude-oil-soars-12-after-drone-attack-cuts-saudi-arabian-supplies-1074784 …,-0.8516
34,2019-09-15 01:28:00,FX of biggest crude oil importers could start the week sharply lower if oil heads north towards $100/bbl due to drone attacks on Saudi oil plants. Indian rupee $ INR & Turkish lira $ TRY most fragile given big current account deficits. Also another headache for PBoC managing $ CNY pic.twitter.com/XjH11jTgOp,-0.8316
35,2019-09-16 01:18:00,"Following the Iranian attack on it’s two largest oil facilities, Saudi Arabia's energy minister said the strikes had reduced crude oil production by 5.7 million barrels a day - about half the kingdom's output. pic.twitter.com/nAGgKEDU1n",-0.802
38,2019-09-15 15:42:00,"Drone strikes by Houthi rebels - Saudi Government is shutting down half of its oil output, which amounts to a loss of about five million barrels a day - or roughly 5 percent of the world's daily production of crude oil .Will this affect the prices of oil and increase inflation?",-0.7906
39,2019-09-15 14:10:00,"#Saudi attacks, supply risk could cause prices to test $80/b: S&P Global Platts Analytics | #crudeoil #OOTT * Saudi likely to maintain exports, use reserves * Spare capacity may be at risk by direct, serious offensive @BrianJScheid + @baldersdale story: http:// plts.co/wHXp50wa9BE pic.twitter.com/jGyHJrqQxg",-0.8555
40,2019-09-15 06:01:00,"World's #crudeoil supply under threat after attacks at #Saudi #oil facilities. Here's our #factbox on #oilprices , #infrastructure & #tradeflows : http:// plts.co/CXb850wagkl #OOTT #energy #SaudiAramco pic.twitter.com/MDHxG4aByO",-0.743
41,2019-09-15 01:04:00,"Saudi Aramco tells CNBC-TV18, attacks resulted in production suspension of 5.7 million barrels of crude oil per day. Work is underway to restore production and a progress update will be provided in around 48 hours pic.twitter.com/uARYs1HJQq",-0.3818
42,2019-09-14 11:52:00,"EXTRA: Saudi Arabia’s production shutdown amounts to a loss of about five million barrels a day, roughly 5% of the world’s daily production of crude oil https://www. wsj.com/articles/drone -strikes-spark-fires-at-saudi-oil-facilities-11568443375 …",-0.7184
