,username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
29,ottoclinton,2019-09-15 20:05,0,0,crude oil jumps 13% after drone strikes disrupt Saudi crude production pic.twitter.com/1f4K5oRGDX,,,,1173372245239975936,https://twitter.com/ottoclinton/status/1173372245239975936
30,TheEconomist,2019-09-15 19:39,211,257,"Saudi Aramco, the kingdom’s state-owned oil company, said that it had suspended production of 5.7m barrels of crude oil https:// econ.st/30lC5yi",,,,1173365656345108486,https://twitter.com/TheEconomist/status/1173365656345108486
31,AlanSipress,2019-09-15 19:08,21,17,BREAKING: Crude oil prices jump 18 percent after attacks on Aramco installations cut Saudi oil output by half https://www. washingtonpost.com/news/business/ wp/2019/09/15/crude-prices-jump-18-percent-after-drone-strikes-halve-saudi-oil-output/ …,,,,1173357858383159299,https://twitter.com/AlanSipress/status/1173357858383159299
32,OilSheppard,2019-09-15 19:02,278,221,"Wow. Brent crude oil showing up almost 20% on open. From $60 to $71 a barrel in blink of an eye, following the attacks in Saudi Arabia this weekend #OOTT pic.twitter.com/as2rqFqwbC",,,#OOTT,1173356533868109825,https://twitter.com/OilSheppard/status/1173356533868109825
33,Taylorule1,2019-09-15 18:07,0,0,Saudi vs Iran crude oil production. Iran’s production slipped recently pic.twitter.com/S8YuI7q2e6,,,,1173342676474834946,https://twitter.com/Taylorule1/status/1173342676474834946
34,Amena__Bakr,2019-09-15 11:06,175,253,EXCLUSIVE: Saudi Arabia is close to restoring as much as 40% of the nearly 6 million barrels per day of crude oil production capacity knocked out by aerial attacks on Saturday http://www. energyintel.com/pages/eig_arti cle.aspx?DocID=1048097&utm_campaign=top-story&utm_medium=site&utm_source=1&utm_content=Saudi+Starts+Restoring+Some+Output+After+Attacks-1048097&ts=1 … #aramco #OOTT,,,#aramco #OOTT,1173236668561854464,https://twitter.com/Amena__Bakr/status/1173236668561854464
35,insigniaconsul1,2019-09-14 22:22,3,3,Our View: Saudi Attack on its Crude Oil Facilities #crudeoil #gold #energies http://www. insigniaconsultants.in/Reports/Index/ 961/our-view-saudi-attack-on-its-crude-oil-facili …,,,#crudeoil #gold #energies,1173044326756012033,https://twitter.com/insigniaconsul1/status/1173044326756012033
36,BenjaminNorton,2019-09-14 12:23,164,308,"This Houthi attack was the largest and most effective on the Saudi regime, which is starving MILLIONS of Yemeni civilians. The production shutdown amounts to a loss of 5 million barrels a day, roughly 5% of the whole world’s daily production of crude oil . https://www. wsj.com/articles/drone -strikes-spark-fires-at-saudi-oil-facilities-11568443375 …",,,,1172893678559531014,https://twitter.com/BenjaminNorton/status/1172893678559531014
37,ABC,2019-09-16 13:41,37,45,OIL PRICES: The loss of 5% of world crude oil output from an attack on Saudi Arabia's largest oil processing plant pushed crude prices sharply higher on Monday. https:// abcn.ws/30nREoY,,,,1173637964875915265,https://twitter.com/ABC/status/1173637964875915265
38,AlArabiya_Eng,2019-09-16 12:00,20,12,"Saudi Arabia shuts down its crude oil pipeline to Bahrain after Saturday’s attack reduces output, according to trade sources. https:// english.alarabiya.net/en/business/en ergy/2019/09/16/Saudi-Arabia-shuts-pipeline-to-Bahrain-after-oil-outage-Trade-sources.html …",,,,1173612504485748739,https://twitter.com/AlArabiya_Eng/status/1173612504485748739
39,sjcasey,2019-09-16 11:48,2,1,Shale Stocks Surge as Crude Oil Spikes After Saudi Attack https://www. bloomberg.com/news/articles/ 2019-09-16/shale-stocks-get-reprieve-thanks-to-oil-surge-on-saudi-attack …,,,,1173609535359135744,https://twitter.com/sjcasey/status/1173609535359135744
40,DailyFXTeam,2019-09-16 09:35,7,13,Saudi Arabia has shutdown its crude oil pipeline to Bahrain following Saudi oil attack - according to sources,,,,1173576164591525889,https://twitter.com/DailyFXTeam/status/1173576164591525889
41,financialjuice,2019-09-16 09:34,0,1,Saudi Arabia shuts down crude oil pipeline to Bahrain after attacks on Saudi oil facilities - Trade Sources $ MACRO #Oil #OOTT $ CL_F https://www. financialjuice.com/News/4749081/S audi-Arabia-shuts-down-crude-oil-pipeline-to-Bahrain-after-attacks-on-Saudi-oil-facilities---Trade-Sources.aspx …,,,#Oil #OOTT,1173575885515108354,https://twitter.com/financialjuice/status/1173575885515108354
42,BatScientist,2019-09-16 08:21,0,0,A Peek Into The Markets: US Stock Futures Down; Crude Oil Jumps Following Saudi Attack $ ALDR $ AZN $ LOW https:// benzinga.com/z/14433805#.XX 9wRu1bkmE.twitter … #premarket,,,# #premarket,1173557623708274694,https://twitter.com/BatScientist/status/1173557623708274694
43,ivolatility,2019-09-16 07:29,0,0,$ CVX : DAILY 3 MONTHS VOLATILITY CHART into WTI Crude oil trades above $59 after an air attack on a Saudi Arabian oil facility $ TOT $ RDS.A $ CHK $ CLR $ PSX $ COP pic.twitter.com/q8jW02koIV,,,,1173544341039734790,https://twitter.com/ivolatility/status/1173544341039734790
44,Shadows83301889,2019-09-16 03:14,0,2,Ones loss can be another's gain https://www. telegraph.co.uk/business/2019/ 09/16/brent-crude-oil-prices-surge-19pc-saudi-arabia-struggles-restore/ … #ukog,,,#ukog,1173480163377668096,https://twitter.com/Shadows83301889/status/1173480163377668096
45,WNN7Com,2019-09-16 02:35,0,0,"Brent crude oil prices surge by 19pc as Saudi Arabia struggles to restore production after Houthi drone attack https:// wnn7.com/the-telegraph/ brent-crude-oil-prices-surge-19pc-saudi-arabia-struggles-restore/ … #WNN7Com #WNN7 September 16, 2019 at 10:30AM",,,#WNN7Com #WNN7,1173470384408186880,https://twitter.com/WNN7Com/status/1173470384408186880
46,GlobalNational,2019-09-15 23:41,4,3,"If you take oil anywhere out of system it affects everybody."" https:// trib.al/tnu3DYn""",,,,1173426678464491520,https://twitter.com/GlobalNational/status/1173426678464491520
47,CNBC,2019-09-15 19:06,110,105,US crude oil jumps 15% after drone strikes disrupt Saudi crude production https:// cnb.cx/2Ax4RBH,,,,1173357372628250624,https://twitter.com/CNBC/status/1173357372628250624
48,CNBCnow,2019-09-15 19:05,531,457,"BREAKING: Brent crude oil surges more than 17%, WTI crude oil surges more than 14% after attack on Saudi oil facility cut production over the weekend http:// cnbc.com/id/106130682 pic.twitter.com/DQWun1L6wO",,,,1173357170697617408,https://twitter.com/CNBCnow/status/1173357170697617408
49,TexasAllianceEP,2019-09-15 12:30,11,11,"From Our Petroleum Economist, Karr Ingham: “Crude #oil production facilities in Saudi are likely going to rattle markets in the near term. Saudi production may drop by over 5 mil barrels per day until that production can be brought back online. “ http:// bit.ly/307zT2h",,,#oil,1173257779831853058,https://twitter.com/TexasAllianceEP/status/1173257779831853058
50,abati1990,2019-09-15 01:47,6,10,"Saudi ’s world largest crude oil facility on fire, hit by drones https:// reubenabati.com.ng/index.php/comp onent/k2/item/8610-saudi-s-world-largest-crude-oil-facility-on-fire-hit-by-drones … pic.twitter.com/xZJs1b3jBI",,,,1173095866577690624,https://twitter.com/abati1990/status/1173095866577690624
51,News3LV,2019-09-16 11:42,0,0,The loss of 5% of world crude oil output from an attack on Saudi Arabia's largest oil processing plant pushed crude prices sharply higher on Monday. https:// bit.ly/2kMdLH3,,,,1173608171014782976,https://twitter.com/News3LV/status/1173608171014782976
52,FaisamTrader,2019-09-16 09:54,1,0,$ spy $ gspc $ aapl $ nflx $ goog $ tsla Airline stocks hit hard as crude oil prices spike after Saudi processing plant attacked https:// faisamtrader.com/airline-stocks -hit-hard-as-crude-oil-prices-spike-after-saudi-processing-plant-attacked/ …,,,,1173580956625723393,https://twitter.com/FaisamTrader/status/1173580956625723393
53,WIONews,2019-09-16 09:00,6,25,#Explained | Saudi #Aramco Attacks: How will the #oil cut impact the world? The recent drone attacks on two Saudi oil facilities have affected the production of 5.7 million barrels of crude oil per day. How has the world supply been affected? pic.twitter.com/RUBw5AImIo,,,#Explained #Aramco #oil,1173567311149559808,https://twitter.com/WIONews/status/1173567311149559808
54,TTATWITS,2019-09-16 08:57,0,0,"Crude Oil NEWS Update- 1. Iran's Revolutionary Guards have seized a vessel in the Gulf for allegedly smuggling 250,000 litres of diesel fuel to the United Arab Emirates. 2. OPEC is assessing the impact on the oil market from attacks on Saudi Arabian fac... #mcx - crudeoil",,,#mcx,1173566650408296449,https://twitter.com/TTATWITS/status/1173566650408296449
55,ETMarkets,2019-09-16 07:29,1,2,"Sensex, Nifty tumble as crude oil soars on Saudi attack #ETMarkets #MarketsNews #BizNews #MarketsUpdate https:// ift.tt/2NhygI6",,,#ETMarkets #MarketsNews #BizNews #MarketsUpdate,1173544401039233024,https://twitter.com/ETMarkets/status/1173544401039233024
56,NaiduGariAbbay,2019-09-16 07:12,0,2,"Brent crude oil surges more than 17%, WTI crude oil surges more than 14% after attack on Saudi oil facility cut production over the weekend http:// cnbc.com/id/106130682 pic.twitter.com/JiZNR9L5wg",,,,1173540047594774530,https://twitter.com/NaiduGariAbbay/status/1173540047594774530
57,APMiddleEast,2019-09-16 02:44,54,88,The weekend attack on the world's largest crude oil processing plant in Saudi Arabia that cut global oil supplies underscores how Aramco's stability is directly linked to its owners — the Saudi government and ruling family. By @ayaelb http:// apne.ws/JrkLbK2,,@ayaelb,,1173472609469644800,https://twitter.com/APMiddleEast/status/1173472609469644800
58,AlexInAir,2019-09-16 01:48,9,10,"Latest: Brent crude oil price soared almost 20% last night following the drone strikes on Saudi oil installations — a temporary reaction, but significant for airlines if the outage were to last several weeks pic.twitter.com/GcVFsjUBA3",,,,1173458664709079040,https://twitter.com/AlexInAir/status/1173458664709079040
59,UkRebel69,2019-09-16 00:12,3,38,"I might be wrong, but if we get our crude oil from Norway and the North Sea platforms, why are UK motorists going to be hit with fuel price rises at the pumps following the drone strike on Saudi oil facilities.",,,,1173434525344514048,https://twitter.com/UkRebel69/status/1173434525344514048
60,OMGno2trump,2019-09-15 23:35,258,350,"Dear #MAGA , be sure to thank Trump for: - helping N. Korea improve its missiles - adding $2,000 per household in new tariff taced - robbing our military to build a wall Mexico should have - putting farmers on corporate welfare - and now raising gas prices https://www. cnbc.com/2019/09/15/us- crude-oil-jumps-15percent-after-drone-strikes-disrupt-saudi-crude-production.html …",,,#MAGA,1173425137510682624,https://twitter.com/OMGno2trump/status/1173425137510682624
61,Joyce_Karam,2019-09-15 20:06,122,151,"UPDATE, #Saudi and #Iran Tension • Trump : US “locked and loaded” • Crude oil prices 18% • NSC Meeting concluded • US released sat. images • Saudi hasn’t made official Accusation after Houthi claimed • Aramco fixing facilities https://www. thenational.ae/world/gcc/saud i-aramco-races-to-repair-oil-facility-after-attacks-cut-country-s-production-by-half-1.910497 …",,,#Saudi #Iran,1173372519887360001,https://twitter.com/Joyce_Karam/status/1173372519887360001
62,CristianGeo7,2019-09-15 19:06,13,8,US crude oil jumps 15% after drone strikes disrupt Saudi crude production. https://www. cnbc.com/2019/09/15/us- crude-oil-jumps-15percent-after-drone-strikes-disrupt-saudi-crude-production.html …,,,,1173357464022130689,https://twitter.com/CristianGeo7/status/1173357464022130689
63,axios,2019-09-15 09:22,17,19,Crude oil prices are expected to surge when Asian markets re-open Sunday night (U.S. time) as traders respond to Saturday's attacks against major oil processing and production sites in Saudi Arabia. https://www. axios.com/oil-prices-sau di-arabia-drone-strikes-aramco-22a2cda6-9312-4a56-bd1d-9cf519150b3a.html?utm_source=twitter&utm_medium=social&utm_campaign=organic …,,,,1173210454526767104,https://twitter.com/axios/status/1173210454526767104
64,aeberman12,2019-09-15 01:15,5,10,WTI price decreased -$1.67 since last Friday week ending September 13. Saudi refinery attacks will change things when markets open on Monday. 12-month backwardation eased +$0.20 from -$3.35 to -$3.05. #OOTT #oilandgas #oil #WTI #CrudeOil #fintwit #OPEC pic.twitter.com/UBvTOaytDF,,,#OOTT #oilandgas #oil #WTI #CrudeOil #fintwit #OPEC,1173087941364764675,https://twitter.com/aeberman12/status/1173087941364764675
65,Marmusha,2019-09-14 07:28,48,43,"Drone attacks on Saudi 's Aramco Abqaiq oil processing facility, causing massive explosions. This is the largest the largest crude oil stabilisation plant in the world.There is no information about human casualties https://www. bbc.com/news/world-mid dle-east-49699429 …",,,,1172819285980450817,https://twitter.com/Marmusha/status/1172819285980450817
66,Sam69168714,2019-09-14 06:15,0,0,Will WTI crude oil pass $60 on Monday? How serious this impact after Saudi attack? Any comments? #OOTT,,,#OOTT,1172801087801298944,https://twitter.com/Sam69168714/status/1172801087801298944
67,IranSociety,2019-09-13 13:20,2,5,"The U.S. momentarily overtook Saudi Arabia as biggest exporter of crude oil & refined oil products in June, while U.S. crude exports were at more than 3 million barrels per day, total exports of oil products were pushed close to 9 million barrels per day, overtaking Saudi Arabia. pic.twitter.com/2FarNCHyCu",,,,1172545595640299520,https://twitter.com/IranSociety/status/1172545595640299520
68,WKYT,2019-09-16 07:30,1,0,"At 5.7 million barrels of crude oil a day, the Saudi disruption would be the greatest on record for world markets https://www. wkyt.com/content/news/E nergy-prices-spike-after-Saudi-oil-attack-US-blaming-Iran-560459081.html …",,,,1173544557109219329,https://twitter.com/WKYT/status/1173544557109219329
69,cryptobuzzr,2019-09-16 07:10,0,0,Stocks Mixed As Crude Oil Prices Surge On Saudi Drone Strike #Crypto #SaturdayThoughts #SaturdayMotivation https:// cryptobuzzr.com/2019/09/16/sto cks-mixed-as-crude-oil-prices-surge-on-saudi-drone-strike/ …,,,#Crypto #SaturdayThoughts #SaturdayMotivation,1173539645000433664,https://twitter.com/cryptobuzzr/status/1173539645000433664
70,cryptobuzzr,2019-09-16 06:58,0,0,Crude Oil Prices See Record Spike Higher on Saudi Oil Attack #Crypto #SaturdayThoughts #SaturdayMotivation https:// cryptobuzzr.com/2019/09/16/cru de-oil-prices-see-record-spike-higher-on-saudi-oil-attack/ …,,,#Crypto #SaturdayThoughts #SaturdayMotivation,1173536619892215808,https://twitter.com/cryptobuzzr/status/1173536619892215808
71,tkiman,2019-09-16 06:32,0,0,What in tarnation! That's about a $7.30 jump for both #Brentoil and #crudeoil .The drone attack on Saudi 's Aramco crude oil facilities are expected to have caused a 5% drop in global supply thereby increasing demand. There is speculation of Iran or Yemen being behind the attack pic.twitter.com/47ypGdIm9u,,,#Brentoil #crudeoil,1173530056762826752,https://twitter.com/tkiman/status/1173530056762826752
72,ener8official,2019-09-16 04:11,0,0,Brent crude oil jumps more than 10% after drone strikes disrupt Saudi crude production https:// buff.ly/32NBKGm #oil #crude,,,#oil #crude,1173494487185874944,https://twitter.com/ener8official/status/1173494487185874944
73,Purusho92480129,2019-09-16 00:58,2,8,Drone attacks on Saudi oil fields will increase crude oil rates and in effect petrol and diesel prices. Get ready for media attack on Modinomics even though their darling jihadi nations are at fault.,,,,1173446116941033473,https://twitter.com/Purusho92480129/status/1173446116941033473
74,ABPNews,2019-09-16 00:20,11,53,#OilPrices Jump The Highest Ever! Brent Crude Oil Soars 12% After Drone Attack Cuts Saudi Arabian Supplies https://www. abplive.in/business/oil-p rices-jump-the-highest-ever-brent-crude-oil-soars-12-after-drone-attack-cuts-saudi-arabian-supplies-1074784 …,,,#OilPrices,1173436427515809792,https://twitter.com/ABPNews/status/1173436427515809792
75,jobahout,2019-09-15 19:33,0,0,Steep rise of crude oil prices after attack v/s #Saudi oil plants. https://www. washingtonpost.com/business/2019/ 09/15/oil-prices-jump-after-weekend-drone-attack-saudi-arabian-oil-fields-infrastructure/ …,,,#Saudi,1173364180193333248,https://twitter.com/jobahout/status/1173364180193333248
76,amitsagar_sr,2019-09-15 14:17,2,3,"Buy CRUDEOIL (19 Sep 2019) (3915); Target 5-7% UP; Short IOCL (130.40), BPCL(408.70), HPCL(271.75); Target 5-7% Down; Reason: Drone attack on Saudi plants may lift oil prices by $5-7/bbl. pic.twitter.com/w1TWehoq1b",,,,1173284832471744512,https://twitter.com/amitsagar_sr/status/1173284832471744512
77,VPatelFX,2019-09-15 01:28,18,27,FX of biggest crude oil importers could start the week sharply lower if oil heads north towards $100/bbl due to drone attacks on Saudi oil plants. Indian rupee $ INR & Turkish lira $ TRY most fragile given big current account deficits. Also another headache for PBoC managing $ CNY pic.twitter.com/XjH11jTgOp,,,,1173091294874390529,https://twitter.com/VPatelFX/status/1173091294874390529
78,Capitolvet,2019-09-14 19:36,2,4,"Sec. Of State #Pompeo blames #Iran for attack triggering #Saudi Arabia’s oil production shutdown. This amounts to a loss of about five million barrels a day, roughly 5% of the world’s daily production of crude oil https://www. wsj.com/articles/drone -strikes-spark-fires-at-saudi-oil-facilities-11568443375 …",,,#Pompeo #Iran #Saudi,1173002579984433152,https://twitter.com/Capitolvet/status/1173002579984433152
79,amit70001,2019-09-14 17:33,1,2,How do you see Monday #CrudeOil opening after #Saudi attack ?,,,#CrudeOil #Saudi,1172971753003307009,https://twitter.com/amit70001/status/1172971753003307009
80,investing_cube,2019-09-14 16:22,2,4,Crude Oil Prices Could Soar as Attacks Halt 50% of Saudi Crude Oil Production - https://www. investingcube.com/crude-oil-pric es-could-soar-as-attacks-halt-50-of-saudi-crude-oil-production/ … pic.twitter.com/njsRJHtXhR,,,,1172953899206086657,https://twitter.com/investing_cube/status/1172953899206086657
81,NewsWinnipeg,2019-09-16 06:04,0,0,Crude oil prices surge after Saudi Arabia plant attack - http:// bit.ly/2O69SJ5 #Winnipeg CJOB,,,#Winnipeg,1173522922553692161,https://twitter.com/NewsWinnipeg/status/1173522922553692161
82,SignalsMe,2019-09-16 04:29,0,0,"Dow Jones Futures: Crude Oil Prices Spike On Saudi Attack, UAW Calls GM Strike, Apple iPhone Preorders 'Look Good' - Investor's Business Daily https:// ift.tt/2UUpWPE #stocks #news",,,#stocks #news,1173499040048324608,https://twitter.com/SignalsMe/status/1173499040048324608
83,HEDGEenergy,2019-09-16 03:33,0,0,"New Article: Brent crude oil jumps more than 10% after drone strikes disrupt Saudi crude production https:// tradeforprofit.net/2019/09/brent- crude-oil-jumps-more-than-10-after-drone-strikes-disrupt-saudi-crude-production/ … #Energy September 15, 2019",,,#Energy,1173485159364141056,https://twitter.com/HEDGEenergy/status/1173485159364141056
84,BeholdIsrael,2019-09-16 01:18,130,316,"Following the Iranian attack on it’s two largest oil facilities, Saudi Arabia's energy minister said the strikes had reduced crude oil production by 5.7 million barrels a day - about half the kingdom's output. pic.twitter.com/nAGgKEDU1n",,,,1173451041188339712,https://twitter.com/BeholdIsrael/status/1173451041188339712
85,CNBCnow,2019-09-15 19:54,60,91,BREAKING: Trump warns U.S. is “locked and loaded” for a response to the “culprit” of this weekend’s attack on Saudi oil field http:// cnbc.com/id/106130682,,,,1173369503301943297,https://twitter.com/CNBCnow/status/1173369503301943297
86,srbnews0,2019-09-15 19:33,0,1,#BREAKING Brent crude oil jumps 12% after drone strikes disrupt Saudi crude production https://www. cnbc.com/2019/09/15/us- crude-oil-jumps-15percent-after-drone-strikes-disrupt-saudi-crude-production.html?__source=iosappshare%7Ccom.atebits.Tweetie2.ShareExtension …,,,#BREAKING,1173364268550500352,https://twitter.com/srbnews0/status/1173364268550500352
